P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,Class,TSNE.x,TSNE.y,TSNE.jaccard,MDS.x,MDS.y,MDS.jaccard,Isomap.x,Isomap.y,Isomap.jaccard,Spectral.x,Spectral.y,Spectral.jaccard
13.74,1.67,2.25,16.4,118,2.6,2.9,0.21,1.62,5.85,0.92,3.2,1060,1,0.0449,-0.0097,0.125,-0.0739,0.0117,0.125,-0.0436,-0.0399,0.375,0.0769,-0.0291,0.5
13.56,1.73,2.46,20.5,116,2.96,2.78,0.2,2.45,6.25,0.98,3.03,1120,1,-0.0123,0.0333,0.125,-0.0882,0.0126,1.0,-0.0595,-0.0353,1.0,0.0640,-0.0323,0.125
14.22,1.7,2.3,16.3,118,3.2,3.0,0.26,2.03,6.38,0.94,3.31,970,1,0.0362,0.0373,0.125,-0.0528,0.0069,0.625,-0.0140,-0.0410,0.125,0.0454,0.0050,0.25
13.29,1.97,2.68,16.8,102,3.0,3.23,0.31,1.66,6.0,1.07,2.84,1270,1,0.0348,-0.0234,0.125,-0.1233,0.0189,0.75,-0.1113,-0.0109,0.375,0.0929,-0.0773,0.25
13.72,1.43,2.5,16.7,108,3.4,3.67,0.19,2.04,6.8,0.89,2.87,1285,1,0.0416,0.0239,0.125,-0.1271,0.0179,0.5,-0.1156,-0.0079,0.25,0.0905,-0.0755,0.5
12.37,0.94,1.36,10.6,88,1.98,0.57,0.28,0.42,1.95,1.05,1.82,520,2,0.0005,0.0071,0.125,0.0534,-0.0090,0.125,-0.0139,0.0172,0.125,-0.0488,-0.0023,0.125
12.33,1.1,2.28,16.0,101,2.05,1.09,0.63,0.41,3.27,1.25,1.67,680,2,0.0190,0.0381,0.125,0.0159,-0.0012,0.5,0.0704,-0.0042,0.25,0.0012,0.0821,0.5
12.64,1.36,2.02,16.8,100,2.02,1.41,0.53,0.62,5.75,0.98,1.59,450,2,-0.0149,0.0254,0.125,0.0697,-0.0123,0.5,-0.0142,0.0198,0.25,-0.0590,-0.0379,0.375
13.67,1.25,1.92,18.0,94,2.1,1.79,0.32,0.73,3.8,1.23,2.46,630,2,-0.0229,-0.0091,0.125,0.0276,-0.0042,0.75,0.0873,0.0117,0.125,-0.0149,0.0691,0.25
12.37,1.13,2.16,19.0,87,3.5,3.1,0.19,1.87,4.45,1.22,2.87,420,2,-0.0268,0.0114,0.125,0.0771,-0.0120,1.0,-0.0142,0.0198,0.25,-0.0676,-0.0567,0.25
12.17,1.45,2.53,19.0,104,1.89,1.75,0.45,1.03,2.95,1.45,2.23,355,2,-0.0376,0.0191,0.125,0.0914,-0.0193,0.5,-0.0139,0.0165,0.25,-0.0690,-0.0675,0.125
12.37,1.21,2.56,18.1,98,2.42,2.65,0.37,2.08,4.6,1.19,2.3,678,2,-0.1116,-0.0127,0.125,0.0163,-0.0021,0.5,0.0707,-0.0040,0.5,-0.0004,0.0819,0.25
13.11,1.01,1.7,15.0,78,2.98,3.18,0.26,2.28,5.3,1.12,3.18,502,2,-0.0330,0.0474,0.125,0.0584,-0.0053,0.625,-0.0140,0.0182,0.125,-0.0547,-0.0102,0.25
12.37,1.17,1.92,19.6,78,2.11,2.0,0.27,1.04,4.68,1.12,3.48,510,2,0.0037,0.0183,0.125,0.0565,-0.0052,0.625,-0.0140,0.0179,0.125,-0.0508,-0.0075,0.25
13.34,0.94,2.36,17.0,110,2.53,1.3,0.55,0.42,3.17,1.02,1.93,750,2,-0.0907,0.0325,0.125,-0.0004,0.0027,1.0,0.0503,-0.0194,0.375,0.0143,0.0617,0.25
12.21,1.19,1.75,16.8,151,1.85,1.28,0.14,2.5,2.85,1.28,3.07,718,2,-0.0222,-0.0181,0.125,0.0083,0.0113,0.875,0.0582,-0.0143,0.125,0.0067,0.0448,0.25
12.29,1.61,2.21,20.4,103,1.1,1.02,0.37,1.46,3.05,0.906,1.82,870,2,0.0484,0.0313,0.125,-0.0292,0.0029,1.0,0.0146,-0.0360,1.0,0.0332,0.0392,0.25
13.86,1.51,2.67,25.0,86,2.95,2.86,0.21,1.87,3.38,1.36,3.16,410,2,-0.0027,0.0165,0.125,0.0795,-0.0124,0.75,-0.0142,0.0195,0.125,-0.0689,-0.0614,0.375
13.49,1.66,2.24,24.0,87,1.88,1.84,0.27,1.03,3.74,0.98,2.78,472,2,-0.0452,0.0045,0.125,0.0649,-0.0096,0.75,-0.0142,0.0195,0.125,-0.0536,-0.0251,0.375
12.99,1.67,2.6,30.0,139,3.3,2.89,0.21,1.96,3.35,1.31,3.5,985,2,0.0465,0.0029,0.125,-0.0574,-0.0002,0.125,-0.0181,-0.0433,0.25,0.0423,-0.0034,0.5
11.96,1.09,2.3,21.0,101,3.38,2.14,0.13,1.65,3.21,0.99,3.13,886,2,0.0143,-0.1498,0.125,-0.0330,0.0040,0.75,0.0101,-0.0373,0.75,0.0356,0.0378,0.375
11.66,1.88,1.92,16.0,97,1.61,1.57,0.34,1.15,3.8,1.23,2.14,428,2,-0.0118,0.0169,0.125,0.0748,-0.0136,0.875,-0.0142,0.0197,0.125,-0.0625,-0.0498,0.125
13.03,0.9,1.71,16.0,86,1.95,2.03,0.24,1.46,4.6,1.19,2.48,392,2,-0.0627,-0.0036,0.125,0.0837,-0.0132,0.75,-0.0141,0.0191,0.125,-0.0871,-0.0814,0.375
11.84,2.89,2.23,18.0,112,1.72,1.32,0.43,0.95,2.65,0.96,2.52,500,2,-0.0204,-0.0467,0.125,0.0574,-0.0132,0.875,-0.0140,0.0183,0.125,-0.0476,-0.0073,0.25
12.33,0.99,1.95,14.8,136,1.9,1.85,0.35,2.76,3.4,1.06,2.31,750,2,0.0002,-0.2375,0.125,0.0003,0.0086,1.0,0.0487,-0.0210,0.125,0.0136,0.0572,0.125
12.7,3.87,2.4,23.0,101,2.83,2.55,0.43,1.95,2.57,1.19,3.13,463,2,-0.0230,-0.0654,0.125,0.0665,-0.0124,0.75,-0.0142,0.0197,0.125,-0.0594,-0.0340,0.25
12.0,0.92,2.0,19.0,86,2.42,2.26,0.3,1.43,2.5,1.38,3.12,278,2,-0.0376,0.0328,0.125,0.1097,-0.0218,1.0,-0.0132,0.0107,0.75,-0.0454,-0.0448,0.375
12.72,1.81,2.2,18.8,86,2.2,2.53,0.26,1.77,3.9,1.16,3.14,714,2,-0.0231,-0.0259,0.125,0.0074,-0.0041,1.0,0.0611,-0.0117,0.125,0.0081,0.0683,0.25
12.08,1.13,2.51,24.0,78,2.0,1.58,0.4,1.4,2.2,1.31,2.72,630,2,0.0124,0.0934,0.125,0.0270,-0.0083,0.5,0.0915,0.0159,0.125,-0.0135,0.0582,0.125
13.05,3.86,2.32,22.5,85,1.65,1.59,0.61,1.62,4.8,0.84,2.01,515,2,-0.1059,0.0156,0.125,0.0551,-0.0065,0.625,-0.0139,0.0176,0.375,-0.0518,-0.0061,0.25
11.84,0.89,2.58,18.0,94,2.2,2.21,0.22,2.35,3.05,0.79,3.08,520,2,-0.0157,0.0835,0.125,0.0535,-0.0079,0.375,-0.0139,0.0173,0.5,-0.0537,0.0001,0.5
12.67,0.98,2.24,18.0,99,2.2,1.94,0.3,1.46,2.62,1.23,3.16,450,2,-0.0189,0.0191,0.125,0.0696,-0.0126,0.5,-0.0142,0.0198,0.125,-0.0590,-0.0379,0.375
12.16,1.61,2.31,22.8,90,1.78,1.69,0.43,1.56,2.45,1.33,2.26,495,2,0.0647,0.0725,0.125,0.0595,-0.0087,0.75,-0.0141,0.0187,0.125,-0.0656,-0.0154,0.25
11.65,1.67,2.62,26.0,88,1.92,1.61,0.4,1.34,2.6,1.36,3.21,562,2,-0.0282,0.0050,0.125,0.0438,-0.0056,0.375,0.1058,0.0328,0.25,-0.0288,0.0266,0.375
11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680,2,-0.0700,-0.0398,0.125,0.0154,-0.0055,0.75,0.0718,-0.0030,0.25,0.0002,0.0819,0.125
12.08,1.33,2.3,23.6,70,2.2,1.59,0.42,1.38,1.74,1.07,3.21,625,2,-0.0719,0.2169,0.125,0.0280,-0.0103,1.0,0.0934,0.0180,0.125,-0.0119,0.0471,0.125
12.08,1.83,2.32,18.5,81,1.6,1.5,0.52,1.64,2.4,1.08,2.27,480,2,-0.0305,0.0193,0.125,0.0634,-0.0076,0.75,-0.0141,0.0191,0.125,-0.0575,-0.0231,0.25
12.0,1.51,2.42,22.0,86,1.45,1.25,0.5,1.63,3.6,1.05,2.65,450,2,-0.0561,-0.0256,0.125,0.0702,-0.0100,0.5,-0.0142,0.0199,0.125,-0.0635,-0.0426,0.125
12.69,1.53,2.26,20.7,80,1.38,1.46,0.58,1.62,3.05,0.96,2.06,495,2,0.0884,0.0252,0.125,0.0599,-0.0065,0.75,-0.0141,0.0187,0.25,-0.0605,-0.0138,0.5
12.29,2.83,2.22,18.0,88,2.45,2.25,0.25,1.99,2.15,1.15,3.3,290,2,-0.0223,0.0362,0.125,0.1072,-0.0195,1.0,-0.0134,0.0120,0.75,-0.0498,-0.0491,0.125
11.62,1.99,2.28,18.0,98,3.02,2.26,0.17,1.35,3.25,1.16,2.96,345,2,-0.0271,0.0255,0.125,0.0941,-0.0182,0.125,-0.0138,0.0161,0.25,-0.0670,-0.0657,0.25
12.47,1.52,2.2,19.0,162,2.5,2.27,0.32,3.28,2.6,1.16,2.63,937,2,0.0513,-0.0089,0.125,-0.0435,0.0187,0.125,-0.0044,-0.0424,0.125,0.0360,0.0188,0.125
11.81,2.12,2.74,21.5,134,1.6,0.99,0.14,1.56,2.5,0.95,2.26,625,2,-0.0153,-0.0331,0.125,0.0299,0.0048,0.75,0.0922,0.0167,0.125,-0.0105,0.0411,0.125
12.29,1.41,1.98,16.0,85,2.55,2.5,0.29,1.77,2.9,1.23,2.74,428,2,-0.0130,0.0519,0.125,0.0754,-0.0109,1.0,-0.0142,0.0198,0.25,-0.0606,-0.0487,0.25
12.37,1.07,2.1,18.5,88,3.52,3.75,0.24,1.95,4.5,1.04,2.77,660,2,-0.0119,-0.0553,0.375,0.0202,-0.0051,0.875,0.0767,0.0014,0.25,-0.0053,0.0820,0.125
12.29,3.17,2.21,18.0,88,2.85,2.99,0.45,2.81,2.3,1.42,2.83,406,2,-0.0163,0.0050,0.125,0.0802,-0.0135,1.0,-0.0142,0.0195,0.25,-0.0776,-0.0699,0.125
12.08,2.08,1.7,17.5,97,2.23,2.17,0.26,1.4,3.3,1.27,2.96,710,2,-0.0413,-0.0071,0.125,0.0087,-0.0015,1.0,0.0619,-0.0110,0.375,0.0081,0.0803,0.125
12.6,1.34,1.9,18.5,88,1.45,1.36,0.29,1.35,2.45,1.04,2.77,562,2,-0.0093,-0.0183,0.125,0.0437,-0.0061,0.125,0.1055,0.0324,0.25,-0.0296,0.0282,0.25
12.34,2.45,2.46,21.0,98,2.56,2.11,0.34,1.31,2.8,0.8,3.38,438,2,-0.0601,-0.0149,0.125,0.0724,-0.0131,0.75,-0.0142,0.0198,0.25,-0.0674,-0.0506,0.25
11.82,1.72,1.88,19.5,86,2.5,1.64,0.37,1.42,2.06,0.94,2.44,415,2,-0.0109,0.0088,0.125,0.0783,-0.0122,0.75,-0.0142,0.0197,0.125,-0.0685,-0.0599,0.25
12.51,1.73,1.98,20.5,85,2.2,1.92,0.32,1.48,2.94,1.04,3.57,672,2,-0.0022,-0.0771,0.25,0.0173,-0.0054,0.625,0.0734,-0.0016,0.125,-0.0012,0.0749,0.25
12.42,2.55,2.27,22.0,90,1.68,1.84,0.66,1.42,2.7,0.86,3.3,315,2,0.1551,-0.0474,0.125,0.1011,-0.0194,0.875,-0.0136,0.0143,0.375,-0.0563,-0.0555,0.125
12.25,1.73,2.12,19.0,80,1.65,2.03,0.37,1.63,3.4,1.0,3.17,510,2,0.0662,-0.0837,0.125,0.0565,-0.0056,0.5,-0.0140,0.0180,0.125,-0.0522,-0.0073,0.25
12.72,1.75,2.28,22.5,84,1.38,1.76,0.48,1.63,3.3,0.88,2.42,488,2,-0.0103,-0.0014,0.125,0.0614,-0.0078,0.5,-0.0141,0.0190,0.25,-0.0591,-0.0187,0.375
12.22,1.29,1.94,19.0,92,2.36,2.04,0.39,2.08,2.7,0.86,3.02,312,2,-0.0615,0.0854,0.125,0.1017,-0.0200,1.0,-0.0136,0.0140,0.5,-0.0541,-0.0534,0.5
11.61,1.35,2.7,20.0,94,2.74,2.92,0.29,2.49,2.65,0.96,3.26,680,2,0.0139,-0.0730,0.125,0.0157,-0.0031,0.375,0.0702,-0.0043,0.125,0.0004,0.0843,0.125
11.46,3.74,1.82,19.5,107,3.18,2.58,0.24,3.58,2.9,0.75,2.81,562,2,-0.0204,-0.0011,0.125,0.0440,-0.0034,0.25,0.1049,0.0317,0.125,-0.0309,0.0286,0.125
12.52,2.43,2.17,21.0,88,2.55,2.27,0.26,1.22,2.0,0.9,2.78,325,2,-0.0210,0.0291,0.125,0.0989,-0.0186,0.75,-0.0137,0.0151,0.25,-0.0563,-0.0555,0.375
11.76,2.68,2.92,20.0,103,1.75,2.03,0.6,1.05,3.8,1.23,2.5,607,2,0.0498,0.0666,0.125,0.0333,-0.0029,1.0,0.0930,0.0178,0.375,-0.0207,0.0589,0.25
11.41,0.74,2.5,21.0,88,2.48,2.01,0.42,1.44,3.08,1.1,2.31,434,2,-0.0394,0.0953,0.125,0.0738,-0.0113,0.875,-0.0142,0.0199,0.25,-0.0619,-0.0478,0.25
12.08,1.39,2.5,22.5,84,2.56,2.29,0.43,1.04,2.9,0.93,3.19,385,2,-0.0202,0.0446,0.125,0.0852,-0.0143,0.75,-0.0141,0.0187,0.125,-0.0812,-0.0774,0.625
11.03,1.51,2.2,21.5,85,2.46,2.17,0.52,2.01,1.9,1.71,2.87,407,2,-0.0381,0.0393,0.125,0.0802,-0.0125,0.75,-0.0142,0.0195,0.25,-0.0733,-0.0657,0.125
11.82,1.47,1.99,20.8,86,1.98,1.6,0.3,1.53,1.95,0.95,3.33,495,2,-0.0012,0.0328,0.125,0.0597,-0.0078,0.75,-0.0141,0.0187,0.125,-0.0639,-0.0151,0.5
12.42,1.61,2.19,22.5,108,2.0,2.09,0.34,1.61,2.06,1.06,2.96,345,2,-0.0090,0.0407,0.125,0.0935,-0.0208,0.25,-0.0138,0.0160,0.25,-0.0605,-0.0595,0.125
12.77,3.43,1.98,16.0,80,1.63,1.25,0.43,0.83,3.4,0.7,2.12,372,2,-0.0006,0.0253,0.125,0.0880,-0.0161,0.5,-0.0140,0.0182,0.125,-0.0751,-0.0723,0.25
12.0,3.43,2.0,19.0,87,2.0,1.64,0.37,1.87,1.28,0.93,3.05,564,2,0.0446,-0.0393,0.125,0.0432,-0.0064,0.25,0.1051,0.0319,0.25,-0.0296,0.0282,0.25
11.45,2.4,2.42,20.0,96,2.9,2.79,0.32,1.83,3.25,0.8,3.39,625,2,0.0523,-0.2080,0.125,0.0288,-0.0038,0.375,0.0882,0.0126,0.125,-0.0165,0.0623,0.125
11.56,2.05,3.23,28.5,119,3.18,5.08,0.47,1.87,6.0,0.93,3.69,465,2,-0.0480,0.0132,0.125,0.0674,-0.0047,0.125,-0.0141,0.0191,0.25,-0.0474,-0.0249,0.25
12.42,4.43,2.73,26.5,102,2.2,2.13,0.43,1.71,2.08,0.92,3.12,365,2,-0.0439,0.0307,0.125,0.0901,-0.0140,0.125,-0.0140,0.0173,0.125,-0.0690,-0.0672,0.25
13.05,5.8,2.13,21.5,86,2.62,2.65,0.3,2.01,2.6,0.73,3.1,380,2,-0.0375,0.0116,0.125,0.0864,-0.0140,1.0,-0.0141,0.0185,0.125,-0.0812,-0.0774,0.125
