x.1,x.2,x.3,x.4,x.5,class
-0.734375586,-0.1995,-0.2785,-0.302,-0.2519,1
-0.503031194,-0.1112,-0.1889,-0.3704,-0.11,1
-0.578122581,-0.4542,-0.0857,-0.1807,-0.1601,1
-0.444587758,-0.0508,-0.061,-0.1626,-0.2441,1
-0.6675522,-0.44,-0.1851,-0.1638,-0.1079,1
-0.54125094,-0.4961,-0.2017,-0.1336,-0.4567,1
-0.444661077,-0.2986,-0.2511,-0.1538,-0.172,1
-0.536311847,-0.1941,-0.2196,-0.0222,-0.1188,1
-0.290928668,-0.3055,-0.3078,-0.2837,-0.1921,1
-0.43192559,-0.44,-0.471,-0.3812,-0.2282,1
-0.498842098,-0.3455,-0.2247,-0.2896,-0.2711,1
-0.60841777,-0.1874,-0.1281,-0.2476,-0.0378,1
-0.565485817,-0.3912,-0.2905,-0.2211,-0.1388,1
-0.495360907,-0.2861,-0.3684,-0.1583,-0.1791,1
-0.561415631,-0.4406,-0.1715,-0.0403,0.0516,1
-0.48823824,-0.2634,-0.1912,-0.2107,-0.1774,1
-0.36075535,-0.4128,-0.1593,-0.0382,-0.0262,1
-0.437037907,-0.2974,-0.1734,-0.1025,-0.2832,1
-0.502143718,-0.1212,-0.2009,-0.2401,0.0117,1
-0.82526338,-0.2525,-0.0904,0.0018,-0.1147,1
-0.660943713,-0.3392,-0.1708,-0.1505,0.0032,1
-0.449712895,-0.3625,-0.3676,-0.2735,-0.1525,1
-0.703342109,-0.2658,-0.1714,-0.2889,-0.272,1
-0.357358887,-0.4391,-0.2572,-0.3876,-0.0818,1
-0.59287832,-0.3171,-0.324,-0.1315,-0.258,1
-0.630898874,-0.1891,-0.1174,-0.2403,-0.1583,1
-0.470050515,-0.5123,-0.0841,-0.2171,-0.0437,1
-0.431647963,-0.2326,-0.3003,0.0033,-0.0416,1
-0.653795036,-0.3163,-0.2739,-0.2766,0.0108,1
-0.500106431,-0.3796,-0.2021,-0.2028,-0.2725,1
-0.28841983,-0.265,-0.3676,-0.0317,-0.1256,1
-0.500573466,-0.2801,-0.088,-0.2687,-0.1526,1
-0.480379584,-0.3634,-0.2905,-0.0278,-0.0244,1
-0.468977168,-0.227,-0.1389,-0.1114,-0.0827,1
-0.565105283,-0.3197,-0.2455,-0.0779,-0.2531,1
-0.63361195,-0.2346,-0.1531,-0.1866,-0.2151,1
-0.535153868,-0.3433,-0.2641,-0.2373,-0.0835,1
-0.602660653,-0.3725,-0.3362,-0.1478,-0.0497,1
-0.529844012,-0.1943,-0.3548,-0.1185,-0.3016,1
-0.206624156,-0.2908,-0.1545,-0.0875,-0.1044,1
-0.470209122,-0.3358,-0.3457,-0.0679,-0.1581,1
-0.362204901,-0.3269,0.1472,-0.1538,-0.3049,1
-0.497874537,-0.2065,-0.1724,-0.2237,0.0522,1
-0.450625997,-0.3849,-0.2836,-0.0996,-0.1298,1
-0.374847387,-0.1603,-0.2407,-0.1434,-0.0457,1
-0.461155512,-0.3292,-0.17,-0.1362,-0.2144,1
-0.6149045,-0.2897,-0.2812,-0.2189,-0.1773,1
-0.603459039,-0.297,-0.3225,-0.1426,-0.0782,1
-0.335592259,-0.3232,-0.1275,-0.0976,-0.0841,1
-0.500224407,-0.2577,-0.3123,0.0259,-0.1104,1
-0.691999437,-0.1478,-0.0968,-0.1563,-0.1802,1
-0.724527373,-0.335,-0.2656,0.0059,-0.1045,1
-0.479377638,-0.1785,-0.1138,-0.1006,-0.2573,1
-0.536600301,-0.4851,-0.289,-0.1685,-0.1015,1
-0.461544439,-0.2611,-0.1938,-0.1631,-0.1046,1
-0.642395481,-0.2006,-0.1896,-0.2986,0.0606,1
-0.513123226,-0.202,-0.2128,-0.2392,0.0119,1
-0.231924083,-0.3867,-0.1549,-0.246,-0.1514,1
-0.441830334,-0.2547,-0.3206,-0.1864,-0.0019,1
-0.466783378,-0.262,-0.2145,-0.2031,-0.1379,1
-0.43543915,-0.376,-0.1847,-0.2732,0.0269,1
-0.394938703,-0.1713,-0.3054,-0.0761,-0.0553,1
-0.457450082,-0.3695,-0.3344,-0.2158,-0.0785,1
-0.341968302,-0.2436,-0.4805,-0.1388,-0.2978,1
-0.482533648,-0.2241,-0.0036,-0.1039,-0.1857,1
-0.538978681,-0.2716,-0.2524,-0.1754,-0.2774,1
-0.636011945,-0.32,-0.2455,-0.0529,-0.2594,1
-0.404093895,-0.2385,-0.0472,-0.0262,-0.3307,1
-0.417334777,-0.1888,-0.1665,0.1059,-0.1114,1
-0.614891591,-0.3621,-0.3022,0.0199,-0.0948,1
-0.368606111,-0.4227,-0.2888,-0.0888,-0.2778,1
-0.489670766,-0.291,-0.1005,-0.1224,-0.1723,1
-0.595627335,-0.1784,-0.2813,-0.1207,-0.1937,1
-0.532168096,-0.3894,-0.2183,-0.3214,-0.1629,1
-0.595528282,-0.1333,-0.2468,-0.2314,-0.2739,1
-0.485175831,-0.4716,-0.1244,-0.0254,-0.1604,1
-0.610215446,-0.3863,-0.2832,-0.3519,0.0605,1
-0.502640547,-0.2327,-0.3063,-0.3461,-0.2249,1
-0.388439883,-0.3136,-0.1785,-0.0599,-0.3046,1
-0.458950772,-0.439,-0.1447,-0.1359,-0.0042,1
-0.559949008,-0.452,-0.107,-0.1224,-0.141,1
-0.418332811,-0.2846,-0.2307,0.0931,-0.111,1
-0.522670493,-0.3165,-0.2149,-0.2318,-0.2152,1
-0.448722987,-0.2322,0.0088,-0.1892,-0.1632,1
-0.516028868,-0.4927,-0.0178,-0.2096,-0.1955,1
-0.527296152,-0.2512,-0.1077,-0.1138,-0.0709,1
-0.596219839,-0.2306,-0.3526,-0.0886,-0.2252,1
-0.630388882,-0.4328,-0.3111,-0.1507,-0.0387,1
-0.532424004,-0.3401,-0.4982,-0.1198,0.0565,1
-0.380889462,-0.3364,-0.2636,-0.2794,-0.0792,1
-0.51294563,-0.5383,-0.3016,-0.1883,-0.1224,1
-0.53029859,-0.325,-0.1793,-0.1006,-0.0055,1
-0.490818857,-0.3284,-0.0871,-0.3266,-0.1982,1
-0.504211865,-0.3936,-0.1454,-0.013,-0.1965,1
-0.54352406,-0.5488,-0.3301,-0.0192,-0.0525,1
-0.339045408,-0.3066,-0.1352,0.0136,-0.1119,1
-0.465058597,-0.4594,-0.2598,-0.1463,-0.1555,1
-0.306670182,-0.314,-0.2045,-0.1437,-0.2139,1
-0.404380181,-0.198,-0.1153,-0.2137,-0.1217,1
-0.45937243,-0.3026,-0.1766,-0.0667,-0.1,1
-0.458169955,-0.2067,-0.1485,-0.158,-0.228,1
-0.407824334,-0.3351,-0.4152,-0.2077,-0.2739,1
-0.541391745,-0.1381,-0.2058,-0.3166,-0.101,1
-0.641019293,-0.2484,-0.2984,-0.0283,-0.2426,1
-0.570879787,-0.2353,-0.1503,-0.207,-0.2129,1
-0.477460701,-0.1933,-0.3788,-0.1318,-0.063,1
-0.464455931,-0.3236,-0.0835,-0.0432,-0.0313,1
-0.583179069,-0.3408,-0.1988,-0.0967,-0.0395,1
-0.588841383,-0.3053,-0.2001,0.0608,-0.1289,1
-0.454448815,-0.2202,-0.109,-0.0156,-0.3312,1
-0.405996469,-0.2063,-0.1896,-0.0546,-0.4281,1
-0.452124904,-0.3014,-0.1158,-0.1378,-0.0892,1
0.647193851,-0.2802,-0.1284,-0.3324,-0.0866,2
0.301269546,-0.3505,-0.23,-0.1784,-0.2807,2
0.380807862,-0.2766,-0.089,-0.1132,-0.3359,2
0.676699152,-0.1979,-0.1704,-0.0017,-0.1754,2
0.523536636,-0.0957,-0.171,-0.2194,-0.0763,2
0.523138409,-0.2898,-0.1314,-0.2138,-0.1739,2
0.552163889,-0.5544,-0.296,-0.2208,-0.0879,2
0.503332933,-0.2203,-0.1934,-0.0147,0.0392,2
0.429849644,-0.3134,0.0859,-0.1357,-0.1556,2
0.387354735,-0.2002,-0.2427,-0.0829,-0.0587,2
0.429493883,-0.3104,-0.2636,-0.0291,-0.1066,2
0.478664334,-0.2226,-0.1138,-0.3184,-0.1876,2
0.454831465,-0.3113,0.0637,-0.1774,-0.0978,2
0.473064735,-0.3486,-0.236,-0.0493,-0.4332,2
0.492566031,-0.3206,-0.2425,-0.1459,-0.0496,2
0.573767084,-0.2388,-0.2319,-0.2664,-0.195,2
0.367301219,-0.2768,-0.3234,-0.1126,0.1782,2
0.540380214,-0.1719,-0.3057,-0.0387,-0.1536,2
0.560900571,-0.1463,-0.2925,-0.2207,-0.1518,2
0.555448354,-0.2988,-0.2066,-0.1674,-0.2168,2
0.55561879,-0.3048,-0.1091,0.1265,-0.0886,2
0.418819788,-0.3753,-0.0039,-0.0393,-0.088,2
0.511258066,-0.2009,-0.1781,0.1095,0.0161,2
0.54026974,-0.4267,-0.22,-0.384,-0.0343,2
0.538325123,-0.3265,-0.1912,-0.1838,-0.0643,2
0.379771658,-0.1006,-0.3605,-0.2818,0.0775,2
0.590921543,-0.5026,-0.1734,-0.3225,0.0593,2
0.557865438,-0.2985,-0.1626,-0.2831,-0.0988,2
0.566068535,-0.1433,-0.2143,-0.3547,-0.2616,2
0.646204654,-0.3511,-0.4071,-0.3121,-0.1605,2
0.458095356,-0.2176,-0.284,-0.0691,-0.1054,2
0.507232455,-0.213,-0.2085,-0.2037,-0.1454,2
0.346150755,-0.4205,-0.1407,-0.1695,-0.2553,2
0.485861419,-0.1546,-0.2229,-0.2627,-0.1204,2
0.458655958,-0.3352,-0.3115,-0.2615,-0.0651,2
0.402630514,-0.2933,-0.3044,-0.236,-0.1907,2
0.336312705,-0.4268,-0.2727,-0.044,-0.2199,2
0.549948732,-0.2375,-0.2022,-0.1558,-0.1991,2
0.602883934,-0.2528,-0.2314,-0.1261,-0.1693,2
0.395631087,-0.2082,-0.1248,-0.1762,-0.2149,2
0.569806663,-0.2732,-0.3241,-0.4159,-0.1763,2
0.317540364,-0.212,-0.1616,-0.2298,0.0273,2
0.485636985,-0.3648,-0.3174,-0.1563,-0.2251,2
0.537087128,-0.3137,-0.0255,0.0043,0.0175,2
0.521203862,-0.1144,-0.1755,-0.1669,-0.1192,2
0.332367674,-0.2856,-0.1265,-0.2429,-0.0943,2
0.461717221,-0.4026,-0.2683,-0.1481,-0.0385,2
0.420597528,-0.3058,-0.1171,-0.2984,-0.0666,2
0.57815075,-0.3924,-0.1453,-0.2859,-0.1401,2
0.600799304,-0.3367,-0.1506,-0.3407,-0.0252,2
0.455517139,-0.3369,0.0126,-0.01,0.035,2
0.468497442,-0.3836,0.0115,-0.0923,-0.1958,2
0.530900689,-0.2752,-0.3182,-0.1187,0.0003,2
0.470228307,-0.1894,-0.1504,-0.2306,-0.2171,2
0.626832359,-0.2218,-0.1284,0.0189,0.0089,2
0.718239772,-0.1876,-0.2764,-0.1297,-0.0936,2
0.536085515,-0.3693,-0.2721,-0.0405,-0.1952,2
0.599951656,-0.5571,-0.313,-0.0839,-0.0935,2
0.423425732,-0.3774,-0.3637,-0.0899,-0.1383,2
0.621058325,-0.1024,-0.2042,-0.281,-0.0719,2
0.54839169,-0.2511,-0.2745,-0.2675,-0.2475,2
0.414694735,-0.4077,-0.2629,-0.1267,0.0411,2
0.371389797,-0.3585,-0.3451,-0.1034,-0.0287,2
0.546851213,-0.2725,-0.3963,-0.1606,-0.0007,2
0.599437084,-0.1312,-0.2279,-0.1919,-0.0878,2
0.558394639,-0.227,-0.1679,-0.1888,-0.1754,2
0.674339185,-0.3137,0.0569,-0.2963,-0.044,2
0.506918245,-0.2901,-0.1407,-0.1328,-0.0823,2
0.685442943,-0.3284,-0.1477,-0.215,-0.131,2
0.433523218,-0.4493,-0.1002,-0.1242,-0.226,2
0.466187012,-0.2736,-0.1865,-0.1735,-0.2556,2
0.552240047,-0.2925,-0.1086,-0.1075,-0.2771,2
0.559756731,-0.2706,-0.2291,-0.2783,-0.196,2
0.380472857,-0.3049,-0.0799,-0.2789,-0.1309,2
0.487082179,-0.1486,-0.1724,-0.3079,0.0049,2
0.444714715,-0.2496,-0.0729,-0.039,-0.1436,2
0.415113733,-0.3647,-0.163,-0.123,-0.1696,2
0.639730088,-0.1736,-0.2026,-0.1333,0.0195,2
0.546730233,-0.3273,-0.2401,-0.0426,-0.1917,2
0.615874486,-0.2415,-0.1961,-0.221,-0.23,2
0.532682858,-0.2476,-0.1827,-0.1354,-0.0663,2
0.456032119,-0.3548,-0.3441,-0.0751,-0.0939,2
0.513914172,-0.257,-0.1331,-0.1745,-0.2642,2
0.474741931,-0.1286,-0.2474,-0.1591,0.0071,2
0.630328621,-0.1503,-0.0326,-0.4369,-0.1264,2
0.43659696,-0.4068,-0.2635,-0.1429,-0.1873,2
0.261986402,-0.3318,-0.1876,-0.0319,-0.1951,2
0.584834989,-0.2992,-0.2818,-0.1941,-0.2937,2
0.651229675,-0.225,-0.2158,-0.0165,-0.2057,2
0.55935298,-0.214,-0.2807,-0.115,-0.271,2
0.435022384,-0.1611,-0.3804,-0.0416,-0.1833,2
0.300516309,-0.3508,-0.0572,-0.0667,-0.2301,2
0.458624518,-0.3904,-0.3461,-0.0809,-0.0964,2
0.340547739,-0.3257,-0.1612,-0.0256,-0.0451,2
0.461217324,-0.0983,-0.2541,-0.2545,-0.0846,2
0.503445343,-0.3492,-0.2058,-0.2145,-0.1332,2
0.642582412,-0.3325,-0.2137,-0.1512,-0.2378,2
0.411264634,-0.2143,-0.2083,-0.1034,-0.1165,2
0.418265732,-0.3515,-0.1959,-0.0203,-0.1655,2
0.523025783,-0.2869,-0.3269,-0.1631,0.0422,2
0.69673377,-0.2907,-0.3728,-0.2216,-0.1475,2
0.572379706,-0.1827,-0.2961,-0.2307,-0.3282,2
0.527576346,-0.4008,-0.2474,-0.1419,-0.1411,2
0.66937205,-0.3614,-0.2311,-0.0873,-0.2353,2
0.378952369,-0.3912,-0.2341,-0.1882,-0.0174,2
0.513697882,-0.2192,-0.2908,-0.281,-0.1493,2
0.597739522,-0.4039,-0.2323,-0.2977,-0.2586,2
0.553585729,-0.4147,-0.2832,-0.172,-0.0168,2
0.403456802,-0.3746,-0.0382,-0.254,-0.1743,2
0.431035097,-0.382,-0.2364,-0.1152,-0.2002,2
0.523548801,-0.5007,-0.2321,-0.1968,-0.0526,2
0.574466848,-0.1714,-0.1554,-0.0034,-0.0497,2
0.520571096,-0.3919,-0.047,-0.2098,-0.2131,2
0.578492038,-0.2578,-0.36,-0.3107,-0.2413,2
0.563807789,-0.1341,-0.1659,-0.1716,-0.1904,2
0.504303967,-0.2297,-0.4109,-0.2444,-0.1578,2
0.475161032,-0.0641,-0.1858,-0.1015,-0.0007,2
0.551920497,-0.2961,-0.1488,-0.1946,-0.1546,2
0.474929198,-0.3225,-0.2377,-0.2829,-0.0903,2
0.480534439,-0.4186,-0.1522,-0.0091,-0.1728,2
0.559337475,-0.3689,-0.197,-0.2385,-0.211,2
0.585885136,-0.2672,-0.2781,-0.3193,-0.1104,2
0.623581561,-0.2022,-0.374,-0.2686,0.0237,2
0.425680013,-0.355,-0.3293,-0.2057,-0.309,2
0.439760526,-0.3119,-0.2,-0.1867,-0.1933,2
0.489176683,-0.284,-0.2238,-0.2721,-0.2287,2
0.558089887,-0.3628,-0.2356,-0.0761,-0.1668,2
0.537606118,-0.2564,-0.2568,-0.1887,-0.153,2
0.535419625,-0.2238,-0.0984,-0.2841,-0.0847,2
0.453891437,-0.1707,-0.0913,-0.0828,0.0821,2
0.618732362,-0.2758,-0.2701,-0.1053,-0.0605,2
0.553304888,-0.3302,-0.2984,-0.1018,-0.0798,2
0.484274067,-0.3147,-0.133,0.0881,-0.0583,2
0.36028046,-0.1635,-0.3759,-0.1579,-0.1464,2
0.240159467,-0.1876,-0.1903,-0.3754,-0.0677,2
0.581915828,-0.2957,-0.3193,-0.2043,-0.2243,2
0.481961237,-0.2557,-0.2351,-0.0715,-0.2649,2
0.499805756,-0.4213,-0.1578,-0.0081,-0.0945,2
0.432590967,-0.2227,-0.1356,-0.1983,-0.0587,2
0.434208513,-0.1401,-0.1547,-0.1461,-0.084,2
0.486848205,-0.1789,-0.2908,-0.1783,-0.0871,2
0.424131894,-0.2043,-0.2739,-0.1468,0.0978,2
0.438275622,-0.2103,-0.1386,-0.0743,-0.008,2
0.498314244,-0.3671,-0.3476,-0.0181,-0.0463,2
0.564714345,-0.362,-0.095,-0.1741,-0.0925,2
0.440503348,-0.2552,-0.2873,-0.2822,-0.1133,2
0.552527933,-0.4371,-0.1547,-0.2002,-0.0897,2
0.367656227,-0.2751,-0.3731,-0.1743,-0.1248,2
0.432585318,-0.4061,-0.2184,-0.167,-0.241,2
0.645602427,-0.3411,-0.2316,-0.1845,-0.1693,2
0.455913989,-0.4188,-0.2292,-0.2795,-0.1674,2
0.341940713,-0.1526,-0.0741,-0.055,-0.1056,2
0.34435291,-0.2116,-0.1665,-0.1854,0.1057,2
0.694749173,-0.1738,-0.381,0.0048,-0.2229,2
0.458856557,-0.1699,-0.2752,-0.2414,0.0193,2
0.567641143,-0.4031,-0.0415,-0.1728,-0.2105,2
0.505434931,-0.3454,-0.1985,-0.3829,-0.1353,2
0.519895676,-0.1789,-0.3441,-0.0702,-0.1789,2
0.488491276,-0.25,-0.0497,-0.058,-0.2915,2
0.531684542,-0.3727,-0.2478,-0.2365,-0.0604,2
0.373483055,-0.254,-0.1721,-0.1191,0.121,2
0.559030734,-0.434,-0.186,-0.0974,-0.2229,2
0.526754323,-0.0529,-0.0529,-0.1917,-0.2048,2
0.619118185,-0.1691,-0.1784,-0.1236,-0.0074,2
0.559365303,-0.3367,-0.2007,-0.2458,-0.0827,2
0.585791514,-0.2115,-0.1567,-0.1217,-0.1656,2
0.584488209,-0.3616,-0.071,-0.1334,-0.2032,2
0.367778919,-0.2587,-0.0343,-0.1938,-0.0856,2
0.606899097,-0.1514,-0.002,-0.2028,-0.0557,2
0.436774418,-0.18,-0.2063,-0.1857,0.1249,2
0.419009762,-0.3861,-0.1412,0.0293,-0.01,2
0.48029442,-0.309,-0.2833,-0.1539,-0.1912,2
0.680938578,-0.133,-0.0722,-0.2977,-0.1502,2
0.50114619,-0.2456,-0.1962,-0.174,-0.1367,2
0.487504317,-0.2751,-0.4348,-0.1421,-0.1574,2
0.004196163,0.5762,-0.1815,-0.2211,-0.0967,3
0.185703607,0.5107,-0.1385,-0.2008,-0.0024,3
-0.128812502,0.4459,-0.2065,-0.055,-0.1593,3
0.020955339,0.6359,-0.3525,-0.028,-0.093,3
0.064718609,0.4517,-0.2204,-0.1371,-0.1543,3
0.108346706,0.6647,-0.415,-0.0347,-0.2461,3
-0.1745047,0.6724,-0.3655,-0.0961,-0.0822,3
-0.102269873,0.5771,0.0302,-0.1171,-0.2126,3
-0.052993821,0.5179,-0.2119,-0.3227,0.03,3
0.048463485,0.6292,-0.3559,0.0086,-0.2114,3
0.054892675,0.5822,-0.1367,-0.0731,-0.3513,3
-0.126321301,0.6567,-0.3247,-0.1523,-0.1445,3
-0.077325631,0.6157,-0.1564,-0.1226,-0.1298,3
-0.120938483,0.5739,-0.3392,-0.1666,-0.1086,3
0.090523452,0.7034,-0.202,-0.2179,-0.1611,3
-0.105069197,0.5131,-0.0909,-0.0637,-0.1987,3
-0.182766709,0.3899,-0.138,-0.1325,-0.0518,3
-0.047909312,0.7073,-0.2333,-0.1426,-0.0742,3
-0.113636783,0.8124,-0.1426,-0.0713,-0.1352,3
0.012468274,0.5047,-0.1821,-0.2845,-0.0411,3
-0.093588101,0.6633,-0.2527,-0.2317,0.0067,3
0.066041642,0.5659,-0.2304,-0.1933,-0.0951,3
0.220182544,0.6749,-0.2415,-0.1102,0.0423,3
0.025439624,0.6857,-0.2694,-0.1797,0.0243,3
0.039539324,0.5985,-0.3228,-0.1381,-0.2724,3
-0.059299555,0.5911,-0.1502,-0.1055,-0.0826,3
0.216154639,0.6006,-0.0105,-0.188,-0.1899,3
-0.157279165,0.5547,-0.0624,-0.2787,-0.2219,3
-0.11616647,0.4639,-0.1521,-0.1277,-0.0115,3
-0.141203823,0.5281,-0.2242,-0.1466,-0.1323,3
-0.087553632,0.4534,-0.1533,-0.2309,-0.1046,3
-0.165252427,0.7638,-0.1835,0.0553,-0.184,3
0.008270888,0.5519,-0.1284,-0.2278,-0.1001,3
-0.027005264,0.6369,-0.0906,-0.0694,0.0444,3
0.04823587,0.5987,-0.1724,-0.0846,-0.0481,3
0.050233419,0.5293,-0.134,-0.2255,-0.0782,3
0.006054783,0.5288,-0.2161,0.0422,-0.2408,3
0.172917077,0.6838,-0.1084,-0.2197,-0.1551,3
-0.004063336,0.5289,-0.128,-0.1811,-0.2054,3
0.013762984,0.5195,-0.0696,-0.2765,-0.1447,3
0.220570479,0.4917,-0.0133,-0.0255,-0.2425,3
0.186085618,0.644,-0.2045,0.0133,-0.3011,3
0.047520591,0.5055,-0.1262,-0.1137,-0.0737,3
0.066288728,0.5909,0.0727,-0.0667,-0.1684,3
0.059824662,0.58,-0.1235,-0.0485,-0.1033,3
-0.200925228,0.482,0.0319,-0.1165,-0.1575,3
0.021345363,0.476,-0.2486,-0.1701,-0.2128,3
-0.032962967,0.639,-0.2075,-0.376,-0.1833,3
0.064474369,0.5528,-0.2665,-0.0816,-0.0947,3
-0.099420281,0.7622,-0.2019,-0.129,-0.1827,3
0.173648143,0.6021,-0.2717,-0.2739,-0.1217,3
-0.047020907,0.5575,-0.115,-0.116,-0.1914,3
-0.280243882,0.6721,-0.193,-0.0674,0.0502,3
0.032216488,0.6067,-0.1839,0.0208,-0.1566,3
-0.031648023,0.4197,-0.2955,-0.166,-0.1306,3
-0.055285069,0.7781,-0.27,-0.0562,-0.1719,3
-0.001706965,0.5999,-0.2375,-0.1631,-0.1876,3
0.044328048,0.4948,-0.2153,0.0362,-0.1975,3
-0.1830125,0.6717,-0.0867,-0.235,-0.1966,3
-0.012532492,0.5626,-0.0453,-0.3677,-0.0604,3
0.192129759,0.5555,-0.1045,-0.0076,-0.1442,3
-0.135548168,0.5085,-0.1556,-0.1835,-0.1093,3
-0.025890677,0.5478,-0.2765,-0.2331,-0.0805,3
0.026841938,0.5491,-0.3,-0.2292,-0.118,3
-0.021355992,0.7113,-0.1714,-0.215,-0.0669,3
-0.127626371,0.6555,-0.3375,-0.0333,-0.1495,3
-0.206248438,0.4808,-0.2322,-0.1125,-0.0763,3
-0.095963401,0.3493,0.0263,-0.206,-0.0504,3
-0.05941996,0.4333,-0.1024,-0.2498,0.0317,3
0.067439504,0.4664,0.0302,-0.013,-0.0553,3
0.024117838,0.3995,-0.2634,-0.2247,-0.2231,3
0.108931058,0.3677,-0.1624,-0.1663,-0.2374,3
0.108536221,0.5824,-0.1722,-0.1413,-0.2787,3
-0.072844763,0.6208,-0.1943,-0.0525,-0.1559,3
-0.138919675,0.6482,-0.2742,-0.0388,-0.1103,3
0.021791489,0.6137,-0.2038,-0.2107,-0.069,3
-0.006449912,0.5108,-0.0678,-0.0905,-0.0838,3
0.077728238,0.4673,-0.045,-0.0449,-0.0699,3
-0.089451376,0.6235,-0.2064,-0.1181,-0.0932,3
0.135299831,0.4141,-0.2402,-0.1037,-0.1506,3
0.014493495,0.3222,-0.2617,-0.113,-0.2303,3
0.147693591,0.5726,-0.2934,-0.1156,-0.0579,3
0.253686642,0.7408,-0.19,-0.2146,-0.0458,3
0.03328754,0.6351,-0.2513,-0.0898,-0.0987,3
0.031926374,0.5311,-0.2656,-0.3435,-0.1347,3
-0.011522982,0.5843,-0.3,-0.0507,-0.0497,3
0.093657231,0.6284,-0.3307,-0.2792,-0.1592,3
-0.031282767,0.4546,-0.1423,-0.2038,-0.1512,3
0.001947638,0.741,-0.1739,-0.0248,-0.341,3
-0.016284163,0.6775,-0.4011,-0.2309,-0.2249,3
-0.055466692,0.6114,-0.2115,-0.1874,0.0335,3
0.046307337,0.5039,-0.2447,-0.3347,-0.2233,3
