x.1,x.2,x.3,x.4,x.5,x.6,x.7,x.8,x.9,x.10,x.11,x.12,x.13,x.14,x.15,x.16,x.17,x.18,x.19,x.20,class
-0.446459995,0.3443,-0.6235,-0.4189,-1.5368,1.8195,1.2242,-0.9912,0.2162,-0.6633,-0.6034,-0.1784,1.0368,0.9353,-1.6189,-0.3116,-0.4271,1.9627,-0.6194,0.7199,2
-0.122956742,-0.2117,-0.1884,-0.0577,-0.8538,-1.1601,0.098,-0.1015,-0.64,0.7014,-0.1843,-0.8021,1.2238,1.2987,-0.7478,-1.3272,0.698,0.8944,-0.6211,-2.1129,2
-0.027949795,-0.8711,0.2216,-0.1089,-1.3938,-0.5224,-1.3065,0.3567,-2.4983,1.9398,0.7321,-0.7344,-0.2495,-1.2082,0.1063,-0.413,-0.7933,-0.3014,-0.1172,-0.759,2
-0.446341206,0.283,-1.621,0.1439,-1.6622,-0.2585,-0.9629,-0.5301,-1.1226,-1.1919,-2.1312,-0.7841,-0.0698,-0.9964,-0.3928,-1.9569,-0.1331,0.7898,-1.8198,0.0878,2
0.673294956,1.0948,0.1694,0.2858,-0.4662,0.8294,0.6186,1.2938,0.8413,-0.7862,-0.7757,-0.5111,2.3623,0.2665,0.974,1.4114,-1.1578,0.9986,1.4464,1.4722,1
-0.59786814,-0.0932,-0.4067,-0.719,0.3424,1.6096,0.9363,-0.5776,1.0368,-0.8526,0.3005,0.9969,0.9762,0.0026,-0.0322,1.1612,-1.8358,0.5823,-1.1177,0.9804,1
1.033855247,0.4426,0.7079,0.1779,0.4013,0.4985,0.4341,-0.3327,-0.4727,-0.9565,0.5883,0.7411,-1.5185,-0.0011,1.3142,1.1403,-1.2125,-0.0345,1.8933,0.1573,1
0.252512678,-0.4228,0.6585,-0.8855,-1.4506,0.0521,-0.6968,0.1007,-1.229,-0.3501,-1.172,-0.4145,-0.9261,0.6591,-0.6004,1.0177,1.8226,1.6356,-0.7252,0.4941,1
-0.569471217,0.0684,-0.2838,-0.4214,1.2114,-1.3709,1.0141,-2.5095,-0.2641,-1.6015,1.0788,-0.1794,0.5713,-0.8057,0.3775,0.9094,0.8592,-1.1449,-0.5289,-0.0382,2
-0.251970123,-0.7821,-0.1201,-0.7361,-0.1582,-0.8919,-1.5362,-1.5291,-1.1653,0.3804,-0.1896,0.8194,0.1018,1.8686,-0.9597,-2.1284,-1.1408,0.6407,0.4749,-0.2152,2
-1.044390474,0.878,0.0299,-0.3279,-1.2726,-1.4753,0.0701,-0.8633,-0.3747,-0.0192,-0.8144,-0.3551,1.2271,-0.8752,-0.6829,2.3196,-0.1699,0.3994,-0.439,1.3185,2
-0.241102258,-0.2108,-0.0855,-1.5083,1.2899,0.2398,-0.213,1.756,-1.0644,2.1627,-0.3072,1.3667,0.4561,0.5481,0.0643,-0.6271,1.5333,2.0596,-0.2564,2.4341,1
0.813421431,0.0809,0.1878,0.236,0.0435,1.242,-1.4354,-1.5269,-0.0757,0.2521,1.4376,1.3386,-0.6347,0.3536,-0.3459,-0.334,1.0839,0.7203,0.5885,0.2943,1
1.329252,-0.544,-0.754,0.6623,-0.6365,-1.285,-1.1168,-0.381,-0.5882,-0.9683,-0.9696,-0.9515,-0.8271,-0.6546,0.8777,-0.541,-1.1319,-0.1224,1.7238,1.1701,2
0.518444292,-1.1024,-1.7757,0.7647,0.0923,0.3797,1.074,0.5995,-0.3799,-1.031,-0.0074,0.9472,-0.1657,-0.5101,-2.2072,-0.6258,-1.0079,0.7296,-0.736,-0.2106,2
-0.470152451,0.5577,-1.597,0.5538,-1.0912,-0.6942,-0.0717,-1.434,-0.4598,0.1635,-1.2702,-1.747,-0.2477,0.4877,0.1834,-0.845,0.1163,-1.4421,0.0623,-1.8023,2
-0.164384492,-0.2812,0.4774,-0.0953,-0.2998,-0.3242,0.846,-0.2659,1.6365,-1.2943,-0.8534,-0.7041,0.5883,-1.4371,0.6302,0.1982,-1.0211,-2.1889,-0.8162,0.225,2
1.342146532,0.0173,1.2399,-1.5208,-0.2356,-0.6041,-1.1232,-0.6492,-0.0774,-0.4227,0.191,0.6982,0.169,1.0467,0.2261,0.8363,0.0902,-0.6537,-1.8502,0.6982,2
-0.209514542,-0.6128,-0.633,-0.7497,-1.1846,-0.9095,0.8556,0.0906,-0.402,-1.9188,0.7005,-2.2908,0.1659,0.0859,-1.3832,0.9827,-1.6516,0.1075,-0.1429,-2.0268,2
-1.449432508,-2.0036,0.2317,-0.8124,-0.7043,-1.2638,0.3427,-1.3887,0.2471,0.4223,-1.4873,-1.5669,-0.2529,0.3825,0.8054,1.6931,-2.4209,-1.6275,-0.9826,-0.7765,2
-1.725034763,-0.7665,-0.2017,-0.2099,-2.4425,1.0528,0.8777,-0.1603,-0.845,-1.0153,-0.0586,-0.679,0.211,-0.2348,-0.5691,0.5157,-3.0151,0.4486,-0.6954,0.2734,2
0.255562799,-0.7891,-1.5914,1.2449,0.0696,0.1512,-0.9083,-0.4751,1.1645,-1.8218,-0.233,0.5295,-0.43,-0.0707,-0.2369,-2.4876,-1.0285,-0.7144,-0.625,-2.0111,2
-1.983882121,-1.0417,0.4674,-0.1478,0.8531,-1.6506,-0.5101,1.0194,0.1604,-0.5387,-0.4367,-0.5335,-0.538,-0.5899,-0.7034,-2.6744,-1.8937,-0.1463,-0.834,-2.1175,2
-0.001305414,-0.9653,-0.1341,-0.0784,0.6954,-0.1984,-0.1895,0.9588,-0.2035,-0.5199,-0.5099,1.1246,-1.1521,1.955,0.2083,0.3215,-0.3747,-0.1162,2.2012,-0.4419,1
-0.158483787,2.6047,0.2091,1.188,-1.1026,-0.2216,-0.3022,-0.8027,-0.3644,3.2337,0.3433,1.0617,0.1856,0.1979,0.1082,1.4449,0.6143,0.533,0.2878,0.8062,1
0.156457527,0.3273,-0.0045,2.3283,-0.4106,1,0.825,0.1578,0.0158,-0.8097,-0.1478,1.6789,1.2055,1.1774,1.4399,-1.1007,0.0519,-1.4483,0.4064,0.6067,1
-0.018217648,1.3135,-2.0478,0.5231,2.2161,1.179,0.2838,0.974,1.6074,0.5316,-0.2199,1.2095,0.9753,-0.8591,0.954,0.5094,0.418,0.9793,-1.4209,0.2715,1
-0.041427696,0.4878,-0.4998,-0.8612,-0.6871,-1.278,1.221,-1.9037,0.7039,0.2374,-1.5974,0.6839,-0.272,-0.8645,0.0371,0.2396,-0.1685,0.0448,0.4038,-1.2523,2
-0.084889335,0.6916,-1.7545,1.0424,-0.4576,0.9896,-0.8529,-0.5571,-1.4355,-1.2958,-0.2006,-0.3771,1.4465,-0.3349,-0.4511,-0.9121,0.2632,-2.4198,-1.3259,-1.0057,2
1.432279117,-0.1909,1.1613,0.8592,-0.1477,0.3516,-1.0041,-0.3813,0.5024,0.3964,-1.4296,0.2432,0.3172,0.3603,0.9891,1.7271,0.5297,-0.7208,0.6022,0.6825,1
0.646023639,0.6918,-0.6695,-0.2207,-0.957,2.1755,-1.2883,-0.8695,1.481,-0.0625,-1.0539,1.4227,0.0419,0.988,0.6562,1.3645,0.4733,-1.1774,-0.7252,-0.9753,1
1.898169593,1.4626,-0.1249,0.4909,0.8689,-0.3994,1.1002,-0.0398,0.1958,-0.1046,0.8243,1.5978,0.0498,0.5936,0.3962,-0.2847,1.0549,0.5192,0.3118,0.697,1
2.453304645,-1.646,-0.5076,0.2253,-0.6589,0.725,-0.4458,-0.6999,-3.0319,-1.3286,-0.513,-0.5534,-1.7484,-0.4362,-0.1333,-0.3163,0.9575,-0.707,-0.2964,0.1229,2
1.850406689,0.1423,0.5035,1.3072,-0.6857,1.2825,-0.5906,-0.5519,0.082,0.4734,1.1121,0.775,0.751,0.0633,2.8645,0.4511,0.444,-0.8925,0.9005,-0.9333,1
1.3642983,-1.5274,-0.0704,0.9475,1.3007,-0.12,0.4714,-0.3515,0.4403,-1.4376,-1.346,1.3079,0.745,-0.1228,1.0115,0.0746,0.5205,0.8488,-0.9342,1.2436,1
1.267893036,0.4909,0.7103,0.3435,0.2139,-0.2347,-0.5622,-0.0335,-0.3441,-0.1129,0.6654,1.8042,0.5249,-0.1499,0.5406,2.0054,0.5029,0.4919,0.4449,1.1948,1
1.266727982,2.6181,-0.2445,0.0758,0.3865,0.5146,0.0157,1.5684,0.2388,-0.6114,0.3067,0.1321,1.7844,-0.1654,0.5175,0.008,0.759,0.2677,0.0662,0.3416,1
-1.512726081,-1.0066,0.0342,0.5714,-0.7865,-0.2261,-0.1462,-0.6034,-0.128,-1.2514,-2.0273,-0.3052,-0.5578,0.4512,-1.0542,-0.7331,-0.3407,0.0055,-0.3742,-0.4657,2
-0.323723495,-0.4463,-0.7545,-0.3356,1.009,-0.3047,-2.0463,0.4365,-1.4664,-2.1202,-1.2282,1.3986,-1.4466,-1.1752,-0.4597,0.2505,0.0389,-0.2192,-0.7361,-0.7252,2
-1.1901536,-0.5518,-0.3209,-0.3471,-1.0206,-0.235,-0.1997,-0.6131,0.628,-0.9602,0.2786,-0.4255,0.764,-0.0986,-2.9374,-0.4089,-0.4043,-0.2628,0.4119,-0.0391,2
-0.352884709,2.3471,0.174,0.7909,1.483,0.2349,1.4347,-1.2194,2.1427,-0.2659,-0.3608,1.5822,-1.1561,0.687,-0.6794,0.0624,0.1433,-0.102,0.45,0.5835,1
-1.274253891,-1.3446,-1.8948,-1.871,-1.005,-1.1318,-1.724,0.6472,0.2171,1.0367,-0.0489,2.5956,0.6624,-1.2209,-0.7372,-0.0692,-1.2517,-0.2869,-0.44,-1.5686,2
-0.648243642,-0.2215,-0.8725,-1.0047,0.3796,1.8119,0.2092,1.8525,0.6165,-0.9084,-1.3673,1.9053,-1.3112,-0.9973,0.3214,0.9787,0.4161,1.8079,-0.959,-1.187,1
-0.521094794,0.3945,0.0084,-0.7939,0.2709,-1.5924,1.284,-0.4544,-1.5478,-1.9115,-0.3667,-0.6351,-0.5186,-0.889,-1.191,-0.6124,0.7128,-0.1038,-1.7662,0.6711,2
1.375504711,0.4354,-1.5471,0.0401,0.0722,1.4468,0.4064,1.4382,0.8625,1.5986,-1.0615,-0.5432,1.3145,1.5775,1.8724,0.5153,0.0039,-0.3775,1.5807,0.73,1
1.390381613,-0.286,-1.4193,0.7327,-0.7024,1,-1.0387,1.8034,-0.3972,0.6826,-0.2296,1.259,1.738,0.5574,0.0613,-0.1252,1.0918,-0.2919,0.2203,0.8371,1
1.777619442,1.2364,-0.8896,-3.8607,-0.0987,-0.9044,-0.9566,-0.727,0.699,1.6357,-0.1438,-0.913,-0.8649,-1.1817,-0.4698,-1.4103,0.2672,-1.7912,-1.0964,0.8093,2
-2.029357531,-0.717,0.8653,0.0727,-1.4466,-1.6657,0.1315,-0.1696,-0.7229,0.7388,-0.1504,-1.7112,-0.697,-0.0803,-1.6519,-1.8705,-0.5509,-0.1051,-0.8737,-0.7578,2
0.25017701,-0.0317,0.5243,0.9489,-0.2636,-1.0857,0.666,1.835,0.1444,1.9585,0.2788,0.0478,-0.3249,-0.1583,1.4342,0.012,-0.166,0.6474,0.99,0.0503,1
0.693583175,2.2046,0.4299,-1.6376,0.4214,1.4846,1.4404,0.9869,0.2801,0.2235,1.3541,-1.2023,0.6192,0.214,-0.2215,1.9156,1.5206,0.7385,0.1072,0.9434,1
1.198670043,1.1828,0.5831,0.5943,0.8805,0.1564,2.2181,2.2472,-0.8869,0.4994,-0.3586,0.4601,-0.0651,1.1715,0.9773,1.1066,0.7912,0.6403,2.2103,0.3772,1
-0.729201195,0.1807,-1.0024,1.5479,-1.4326,-0.6295,0.1019,-0.7508,-0.3062,-1.9029,0.2633,-0.1588,1.2034,0.6567,-0.3318,0.5633,0.1064,-1.4947,-0.4877,-1.1456,2
0.002560994,0.327,1.9835,0.8095,1.4573,0.2526,-1.1086,0.1285,0.8142,-0.2638,0.382,-1.5934,0.8251,-0.5338,0.7733,1.1479,0.6479,0.4301,0.6326,-0.0315,1
-0.340749233,0.3512,0.9461,0.9119,1.0826,1.1857,-0.1927,0.2534,0.7426,-1.3203,0.4118,0.829,0.8915,1.3041,0.5542,0.6615,-0.7809,2.3971,1.0174,0.2166,1
0.875175774,0.2851,-0.2737,0.0171,1.1406,0.3724,0.2908,1.5243,-0.8728,2.3989,-1.1142,0.8476,1.2406,-0.386,-1.236,0.0612,2.0976,-0.3403,0.5864,-0.0867,1
0.514328123,-0.5778,-0.4325,1.2938,1.3458,-0.6128,-0.4715,0.4284,0.5967,1.3249,0.1159,1.4456,0.7758,-0.9492,0.2677,0.9908,0.5986,0.0811,0.4258,0.2009,1
0.512594939,-1.2285,-1.3958,-0.0941,0.0868,-0.6322,-1.3603,-0.0206,1.2013,-0.8759,-1.3944,-0.382,-0.6416,-1.4824,0.0011,-0.015,-1.2442,-0.225,-0.0718,-0.3026,2
0.014823739,-0.1333,0.2526,0.8524,1.0731,-0.0885,0.1435,0.6579,-1.4972,1.6263,0.3412,-0.6212,1.0468,-0.1741,0.49,-1.2393,1.2719,1.1314,1.6185,1.9993,1
0.441102878,-0.1071,-0.142,-0.4543,-0.1602,-0.3011,1.0776,-1.371,0.1601,-2.0381,-2.748,0.1447,-1.2934,-1.291,0.2569,-0.5892,-0.6181,-2.0752,-1.4231,-0.6238,2
-1.417576499,0.0244,-0.3477,1.6941,2.0891,0.2886,-0.3522,2.4497,0.3525,1.6858,0.4315,0.3139,1.0476,0.121,0.1742,0.4252,0.7299,1.2859,0.8739,1.4358,1
-1.189590151,-0.3839,0.5566,0.3228,-0.6395,-0.2772,-1.9302,-1.1408,0.7278,0.6749,1.0011,-0.4899,-0.1606,-1.6878,1.0179,0.1322,-0.3881,-0.0879,0.1878,1.2208,2
0.251906472,0.3376,0.5114,-1.1456,-0.203,-0.8933,-0.4338,0.5645,-0.5968,-1.0523,0.1853,-0.6291,0.8546,-0.2763,-0.755,1.2244,-1.7639,0.008,0.079,-1.0685,2
1.369425557,-1.0587,0.0808,1.4395,-0.5071,0.0403,-1.3053,0.8017,0.4591,-0.6689,-1.0627,-1.7536,0.1317,-0.3897,0.0416,0.5437,-1.8461,-0.9216,-0.511,-0.4876,2
0.448206781,1.053,0.9584,-0.1386,0.5178,1.249,-0.4007,0.8429,-0.1681,-0.4038,1.3133,-0.5865,1.6085,-0.8414,0.7001,0.1328,1.0711,0.8289,0.7385,1.507,1
1.070508026,-0.3053,1.3952,-2.246,-1.6816,1.1725,-1.3993,-2.7251,-1.0574,0.2647,0.2493,0.4595,0.484,-1.6412,0.0763,-1.0733,-0.4495,-0.3841,1.0391,-0.8356,2
1.061536218,0.122,-1.0154,-0.272,0.0939,0.5365,1.0165,0.6971,0.148,0.6332,-0.5252,2.2357,-0.1052,0.3473,0.2129,0.7114,0.4843,0.3805,0.5615,1.619,1
-0.726972319,-1.3667,0.8021,-0.5642,0.4213,0.6853,-0.059,2.0561,0.7402,0.8273,-0.1971,1.1227,-0.3894,1.5231,1.3289,-0.6636,0.4556,0.144,-0.1331,-0.2701,1
-0.431168132,-0.665,1.1191,0.5197,1.4154,1.5162,2.23,-1.0951,-0.2303,0.0739,1.9896,0.4905,-2.1479,0.0203,1.1556,-0.5492,0.3077,-2.1398,0.9146,0.4762,1
0.885635902,-0.3634,1.458,1.2527,0.1366,1.0957,0.8916,1.4968,0.7312,-0.4176,0.9507,2.0035,1.4282,-0.1278,2.2915,0.8694,0.6191,0.0059,0.5586,-0.2591,1
0.395563618,0.2414,-0.8096,1.8488,0.3372,0.2255,0.2604,-1.1402,0.3686,-0.9292,-0.6593,-0.8653,-1.5242,-0.2181,0.5113,1.044,1.6789,-1.6929,1.9406,0.6506,1
-0.537244927,-0.518,-0.99,-0.6285,0.4252,-2.2675,1.6978,0.4916,0.8801,-0.9596,1.0391,-0.1223,-0.8538,-0.7539,-0.7167,-0.4539,-1.1256,0.5304,-0.754,0.4858,2
-0.28000994,0.5953,-0.3472,-1.0543,-0.663,1.1227,-0.297,-1.5564,-0.7027,-1.873,-0.9148,-0.0027,-1.4989,0.2717,-0.9336,0.788,1.3581,0.994,-0.5596,-1.2211,2
0.368463923,0.124,-1.6088,-0.5732,1.8238,-0.2038,0.3549,0.9629,-0.5334,0.3145,0.2391,0.6771,-0.3564,0.1806,-1.4601,0.2087,1.352,-1.5523,0.8434,0.9636,1
-0.044468606,-1.2381,-0.2077,-0.8878,0.1232,-0.2804,-1.0051,-1.0691,1.8285,0.6131,0.772,-0.5129,1.0341,1.2872,-1.1852,1.4485,2.2797,1.0396,3.183,0.4747,1
0.437638399,0.2014,-2.2012,-0.3082,-0.2874,0.3816,0.8493,0.675,1.0361,0.3789,0.2154,-0.445,1.7383,0.2097,0.1391,-1.5141,-0.4955,-0.9872,1.4745,-0.8821,2
-2.167861168,-1.6422,-0.3886,-1.5006,0.6568,-0.8823,-1.1956,-1.007,0.4212,-0.6925,-0.4033,0.5525,-0.8521,0.7322,-1.1813,-0.2521,-1.4546,-0.7097,-0.7023,-0.7684,2
-0.374075987,0.3762,-0.832,1.6017,-0.1343,-0.9357,-0.4591,-0.1675,0.4369,-0.7145,-0.5564,-0.8937,2.3514,-1.1282,-0.6129,-0.3502,0.1831,-0.4788,-0.2377,-1.8548,2
0.454821914,0.8612,-0.0629,-0.2164,0.3252,0.9096,0.1564,-0.8149,0.4038,0.1507,-0.5563,-1.4308,1.1783,0.8525,-0.4883,-0.5117,0.3718,0.3053,1.9016,0.8517,1
-0.244886838,-1.4073,0.0931,0.1404,-2.7459,-1.1105,-1.2329,0.302,0.5271,-1.4602,-0.8185,-0.4297,-0.5536,-1.7268,0.015,-2.6177,-1.0358,0.5918,1.3139,0.1854,2
0.266856733,0.2895,0.2236,0.5504,0.1501,0.845,1.5791,1.8585,1.6448,-0.2661,0.5259,2.2764,-0.3035,-0.7726,-1.3365,0.1012,0.2488,0.7486,-0.1659,-2.3555,1
-0.741028236,-0.3482,-1.2292,-0.5085,0.3118,-1.6341,0.0129,0.3049,0.2901,-0.1791,-0.2815,0.037,0.0999,0.0936,-1.1864,0.524,0.0589,-0.5747,-0.2831,-0.1012,2
-1.575182086,0.663,-0.8356,0.4757,0.6915,0.1292,-0.4204,-0.4379,1.2415,1.6339,-1.4274,0.3795,-0.1618,-0.372,0.6916,-1.0409,1.2263,0.7586,1.1514,-0.0786,1
-0.603643448,-0.7037,0.5646,-1.9908,-1.7784,-0.0573,-1.6428,-0.5302,-0.6283,-0.1875,1.1846,0.5986,0.0022,0.1471,-0.9219,-0.0264,0.4051,-1.6291,-0.4595,-0.3857,2
0.193587551,-0.3115,2.3984,-0.4634,0.9246,1.5371,-1.8211,1.6218,0.907,1.4221,-0.2793,1.2459,-0.652,0.7246,1.5846,1.0598,0.2981,-0.2964,1.0163,-1.7989,1
0.583474433,-0.8597,-0.5365,-0.5632,0.1178,-0.2288,-1.5707,-1.1688,1.9851,-0.8318,0.659,-0.2821,-0.0739,-0.3219,-0.9084,-0.2651,0.2084,-1.0878,-1.6741,0.1395,2
-1.466696115,-0.1251,-1.827,1.1426,0.0067,-0.1512,1.3766,-0.8776,0.6915,-0.9445,0.1392,-0.7262,-0.1801,-0.5301,-0.9974,-2.902,-0.4247,-0.2272,-1.238,-0.1364,2
0.600640995,-2.8549,0.1539,-0.6667,-0.6748,-0.6972,0.3531,-0.9288,1.1222,-1.1823,-1.3672,0.9148,-1.2542,-0.7386,-0.6896,0.9874,-1.1949,0.3575,-0.4608,1.1469,2
0.285470563,-1.644,-0.7557,1.0277,1.5226,0.5853,1.0365,-0.1891,0.4963,0.8902,0.3802,-0.926,2.2519,-0.7223,1.3475,-0.2168,-0.4339,1.7531,0.5295,1.4942,1
0.71469621,-0.68,-0.955,-0.8973,-0.7146,0.122,-1.0486,0.4189,0.2201,-1.279,-0.3706,-0.8756,0.1267,0.0095,-0.6395,-1.1233,0.0247,-0.6565,-0.9178,-0.7301,2
-0.642287478,-0.2774,-0.7364,-0.514,0.7744,-1.5606,0.0361,-0.879,0.553,0.9298,-1.3123,-0.3049,-0.5812,-0.9096,0.2039,-0.8975,1.1482,-0.0937,-2.4361,-0.4378,2
0.426962464,-1.2215,0.9451,0.2445,0.1989,-0.5736,-0.3284,-0.8182,0.3316,0.9295,0.5782,-1.0817,-1.4759,-0.0764,0.6009,1.0669,0.2341,-0.0729,1.6912,0.9404,1
-0.464741004,-1.3793,-0.6653,-0.2757,0.6467,-1.0569,0.5146,0.6301,1.3065,-0.0962,-0.2759,0.326,-0.324,-0.2424,-2.4227,0.6997,-0.8457,0.1697,-1.9169,-0.7954,2
0.905045394,-1.0482,0.2141,-0.7696,1.4474,-0.7463,-0.0934,1.9099,0.4687,-1.2814,1.6524,1.1134,0.1813,0.2062,-1.5563,1.1925,1.5478,-1.0802,1.6173,0.4548,1
-1.194491824,-1.823,1.584,0.0045,-0.2335,-0.4741,-1.1724,-2.2918,-2.0961,2.4128,1.2164,-0.6959,0.7744,-0.6678,-1.5189,-0.9432,-0.8441,-0.3171,0.6261,-2.4422,2
0.246776196,-0.0315,0.4521,1.0653,1.6666,0.1962,-2.4124,1.4469,-0.8284,0.7132,0.3946,0.8173,1.1056,0.1365,-0.6616,0.7978,0.8192,1.1707,-0.5819,0.5481,1
1.169913174,1.4445,1.0688,0.7762,-0.6308,-0.3784,0.9897,0.1513,0.4684,-2.5607,0.7825,0.0842,-0.1816,-0.4612,0.2504,-0.1481,-1.4065,1.2496,-0.4408,-1.496,1
0.844873414,1.2389,-0.6654,-0.1776,-0.9074,1.2079,-1.9613,-0.8971,-0.6615,1.005,-0.7819,0.9949,-1.6176,-1.1118,0.4913,0.7804,-0.5938,-0.303,0.0782,0.9757,2
1.057293272,-1.3412,-1.0923,0.2159,-0.6352,-0.0996,-0.4802,-0.9981,-0.3203,1.2565,-0.5043,0.5023,-0.7834,-1.4566,0.8823,-0.3719,0.6391,0.601,1.1244,-0.9732,2
-0.428705628,0.1213,0.5655,0.157,1.1933,-1.3909,-0.0911,0.1697,0.5787,1.3274,0.8632,1.1064,1.1607,-0.3929,2.2097,0.8421,-0.6898,1.3465,0.7868,1.0913,1
0.350783085,-0.6005,0.6508,-0.6085,-0.2451,-0.7957,0.1337,-1.0232,0.5523,-0.1013,-1.3864,-1.354,-0.58,-0.1017,-1.4319,-0.4165,-0.7209,-1.5093,-0.6931,-0.8224,2
0.512607041,1.6222,1.5764,0.0158,0.0657,0.2182,0.2557,0.4718,-1.0137,-1.0423,-0.3728,-0.2041,0.4227,-0.1128,0.6035,0.443,0.3634,0.3639,2.0638,1.0156,1
0.815894816,0.9316,0.7237,-1.6079,-0.2708,-0.3272,0.7181,0.5212,-0.5991,-0.8842,-1.5743,-1.9158,-2.3361,-0.4683,0.9284,-0.164,1.5222,-0.5986,0.427,1.026,2
0.684576942,-0.7766,0.9065,-0.4333,0.9008,0.4458,-2.0367,2.3764,-0.453,-0.2304,2.7596,0.6992,0.1041,2.688,-0.0621,-0.4477,-0.5259,0.1941,0.4825,1.3025,1
-0.321192863,1.6647,-1.4407,0.1715,0.046,-1.2406,0.4805,-0.4579,1.9601,0.2329,-0.6904,-1.5342,-0.6092,2.1503,-0.9132,-0.6275,0.1263,-1.1547,-0.1784,0.7036,2
0.688717177,-0.9374,0.8028,0.1897,-0.0893,0.813,-1.0966,0.2226,0.1802,2.556,0.9498,0.0341,-0.1433,-0.0233,0.6889,1.3194,-0.7427,-0.3974,2.005,0.6741,1
0.019747258,0.1364,0.9138,1.7245,2.0128,0.9156,1.1393,0.6103,0.3578,-0.7303,1.2481,1.106,0.7939,1.6543,-0.0151,1.467,-0.0398,-0.4513,0.0006,-0.6866,1
-0.531112467,2.0235,-1.5726,1.3403,-0.9171,0.8577,-0.5081,-1.2462,-0.8708,-0.2667,0.3717,1.4675,-0.4765,1.0313,-0.5431,-1.1148,-1.7856,-1.2378,0.6277,-1.5318,2
-0.627905377,-0.504,-1.0806,0.974,0.3002,-0.0922,1.075,0.6495,-0.3216,-0.9253,0.6269,-1.0602,1.3902,-0.0271,0.4024,-0.1448,0.792,1.3664,1.034,0.0757,1
-0.750023365,-0.4973,-0.2777,-2.0402,0.8221,1.6178,0.5468,1.1982,0.0768,1.388,0.1665,-0.4813,-0.1037,-0.9331,-0.1836,-1.0499,2.4447,1.055,-0.1789,0.7,1
-0.119019085,-0.0491,-0.5373,1.1291,-0.174,-0.3823,0.2365,0.2546,0.4586,1.0907,0.7471,1.2495,0.7182,1.0813,1.0735,-0.5232,1.3147,0.6017,0.897,-0.4221,1
