x.1,x.2,x.3,class
-1.607241358,-0.7483,-0.6166,1
-1.425158618,-0.92,-0.2188,1
-1.57375079,-0.748,-0.5748,1
-1.087866296,-0.8893,-0.5795,1
-1.081032914,-0.61,-0.3589,1
-1.099030954,-1.3083,-0.632,1
-1.835636908,-0.8331,-0.3312,1
-1.244836081,-0.3827,-0.9419,1
-1.229733381,-0.2265,-0.6278,1
-1.427253394,-0.619,-0.4251,1
-1.375110937,-0.7243,-0.5442,1
-1.682947713,-0.8528,-0.84,1
-1.581478304,-0.3506,-0.594,1
-1.636478405,-0.7075,-0.3756,1
-1.284521986,-0.3663,-0.1763,1
-1.841724769,-1.0123,-0.9352,1
-1.489046178,-0.5599,-0.5813,1
-1.226263718,-1.1827,-0.2836,1
-1.522844757,-1.088,-0.2179,1
-1.063970657,-0.7422,-0.6946,1
-1.464329232,-0.4988,-0.2579,1
-1.235623002,-1.0288,-0.5197,1
-1.393959612,-0.8687,-0.7158,1
-1.551969721,-1.1994,-0.6103,1
-1.520485926,-0.2431,-0.2412,1
-1.684299009,-0.829,-0.4721,1
-1.066009975,-0.6889,-0.7791,1
-1.076876513,-0.4916,-1.203,1
-1.202732223,-0.4699,-0.3246,1
-1.27421164,-0.6825,-0.3671,1
-1.108172276,-1.0681,-0.5621,1
-1.957592511,-0.7833,-0.3664,1
-1.551115784,-0.5533,-0.566,1
-1.604933733,-1.2807,-0.4145,1
-1.109039326,-1.1357,-0.4158,1
-1.191290421,-0.8481,-0.2713,1
-1.111230912,-0.5282,-0.6744,1
-1.650081884,-0.5055,-0.6136,1
-1.367375413,-1.2906,0.1556,1
-1.456973209,-0.9259,-0.4627,1
-1.466314295,-0.6057,-0.7498,1
-1.091937076,-0.8202,-0.5705,1
-1.18341334,-1.3953,-0.4461,1
-1.171104385,-1.1187,0.1257,1
-1.517077614,-1.0117,-0.5304,1
-1.302842428,-1.2671,-0.2937,1
-1.379182653,-1.1474,-0.4124,1
-1.217095217,-0.5639,-0.4707,1
-0.969024993,-0.7051,-0.6063,1
-1.724314005,-0.4844,-0.1958,1
-1.80021419,-0.0487,-0.5633,1
-1.54542589,-0.7771,-0.5358,1
-1.875615201,-0.7737,-0.6859,1
-1.699153237,-0.9142,0.2273,1
-1.416742084,-0.8002,-0.0345,1
-1.3122614,-0.6317,-0.1061,1
-1.463995852,-0.8157,-0.4966,1
-1.181134475,-0.7499,-0.6718,1
-0.909911064,-0.8325,-0.6556,1
-1.124720038,-0.9607,-0.8578,1
-1.420924479,-0.4783,-0.9516,1
-1.446812212,-0.5647,-0.2209,1
-1.144916374,-0.887,-0.7234,1
-1.171476579,-1.1143,-0.783,1
-1.282872261,-0.9584,-0.5751,1
-1.376076076,-0.8677,-0.7722,1
-1.975248073,-0.7021,-0.4402,1
-1.431495063,-0.3323,-0.8912,1
-1.273772064,-1.034,-0.7919,1
-1.241519098,-0.6248,-0.6276,1
-1.170287903,-1.0814,-0.4999,1
-1.704472988,-0.0949,-0.5443,1
-1.389616817,-0.4905,-0.4753,1
-1.497519057,-0.9282,-0.8045,1
-1.657478625,-0.4694,-0.2984,1
-1.258130873,-0.454,-0.2127,1
-1.099905907,-0.4216,-0.9082,1
-1.523646064,-0.5489,-0.1303,1
-1.215398349,-1.0466,-0.6041,1
-1.153948197,-0.7066,-0.1748,1
-1.31910126,-0.9232,-0.4846,1
-1.518240021,-0.2837,-0.4663,1
-1.378009016,-0.4374,-0.6329,1
-1.585465996,-0.9382,-1.0566,1
-1.38003246,-0.8378,-0.759,1
-1.519699319,-1.3098,-1.0787,1
-1.608673817,-0.6286,-0.7488,1
-1.162006972,-0.8696,-0.4165,1
-1.386946083,-0.6075,-0.3157,1
-1.316665565,-1.2509,-1.0089,1
-1.786866123,-0.5507,-0.0333,1
-1.477725687,-0.1125,-0.557,1
-0.741826483,-0.6092,-0.6359,1
-1.351023097,-0.8193,-0.2795,1
-1.381665521,-0.7581,-0.6475,1
-1.332460431,-0.8067,-0.675,1
-1.205777592,-0.9416,-1.0247,1
-1.858507243,-0.5357,-0.6988,1
-1.270738638,-0.6411,-0.8506,1
-1.265229777,-0.3738,-0.5538,1
-1.52294133,-0.6715,-0.9018,1
-1.359122172,-0.7158,-0.8042,1
-1.324088033,-0.6572,-0.2799,1
-1.689117633,-0.5618,-0.3549,1
-1.719901583,-1.1373,-0.1653,1
-1.583568617,-0.7143,-0.393,1
-1.16864341,-1.0036,-0.585,1
-1.472911611,-0.8546,-0.6827,1
-1.480482675,-1.0815,-0.4881,1
-0.911142719,-1.0708,-0.4347,1
-1.365288762,-1.0441,-0.6823,1
-1.184576248,-0.466,-1.1735,1
-1.239005456,-0.9214,-0.5808,1
-1.844726499,-0.726,-0.2766,1
-1.309552775,-0.3896,-0.7079,1
-1.498648825,-1.0037,-0.2355,1
-1.481809395,-0.7816,-0.3356,1
-1.626003335,-0.6073,-0.4761,1
-0.986285804,-0.6738,-0.8103,1
-1.232129026,-1.0582,-0.5207,1
-1.042813756,-0.5402,-0.5327,1
-1.615630985,-0.8108,-0.1721,1
-1.109143047,-1.2539,-0.5138,1
-1.459358953,-0.4379,-0.5601,1
-1.49636952,-0.9677,-0.5122,1
-1.463306957,-0.7987,-0.6084,1
-1.930850791,-1.3792,-0.5387,1
-1.612944311,-1.3617,-0.847,1
-1.204106892,-1.3167,-0.564,1
-1.334800307,-1.1237,-0.7009,1
-1.73250885,-0.6585,-1.0495,1
-1.20254264,-0.4387,-0.3765,1
-1.734413086,-1.2299,-0.5097,1
-1.16250768,-0.3583,-0.2501,1
-1.345186247,-0.9444,0.0082,1
-1.232652077,-0.7648,-0.6543,1
-1.124843198,-0.7691,-0.4942,1
-1.359327212,-0.7564,-0.8565,1
-1.18497412,-0.4942,-0.4604,1
-1.25037342,-0.4743,-0.8519,1
-1.58025779,-0.7948,-0.9091,1
-1.36820206,-1.5462,-0.2648,1
1.48919512,-0.5459,-0.598,2
1.526638679,-1.0276,-0.3351,2
1.463374278,-0.905,-0.5732,2
1.697872058,-0.6214,-0.7702,2
1.270515197,-0.7191,-0.6088,2
1.532108707,-1.0029,-0.4469,2
0.802557966,-0.3949,-0.8319,2
1.451205407,-0.4059,-0.3308,2
0.990203191,-0.8125,-0.3545,2
0.953875759,-0.9591,-0.7683,2
1.71050089,-0.8194,-0.6076,2
1.1219623,-0.4294,-0.2614,2
1.502763264,-0.3814,-0.3332,2
1.419137816,-1.0288,-0.7253,2
1.665646917,-0.693,-1.0547,2
2.005151464,-0.7887,-0.3274,2
1.314066517,-1.0589,-0.8223,2
1.320550869,-0.7042,-0.5589,2
1.901678587,-0.7675,-0.8318,2
1.398762537,-0.7586,-0.7043,2
1.052758162,-0.755,-0.8318,2
1.520414914,-0.5359,-0.3799,2
1.29524231,-0.8306,-0.5336,2
1.408036206,-1.0866,-0.3488,2
0.998190632,-0.892,-0.654,2
1.420789586,-1.1055,-0.7809,2
1.250960616,-1.198,-0.6202,2
1.469887209,-1.0284,-0.4926,2
1.537022897,-0.9057,-0.6206,2
0.919448246,-0.8813,-0.3872,2
1.133851333,-0.7156,0.3088,2
1.081527309,-1.2074,-0.4932,2
1.179579329,-1.0353,-0.9186,2
1.457123259,-1.2624,-0.4596,2
1.307394317,-0.6963,-0.5037,2
1.096729477,-0.8949,-0.8053,2
1.08584388,-1.1846,-0.2005,2
1.215440926,-0.8889,-0.4189,2
1.48666495,-0.688,-0.7604,2
1.390134336,-0.4656,-0.5044,2
1.116312303,-0.9054,-0.4629,2
1.495219561,-0.5622,-0.7167,2
1.099818154,-0.8616,-0.6343,2
1.528624141,-1.2071,-0.4664,2
1.114184552,-0.9344,-0.7826,2
0.808780775,-1.1573,-0.7422,2
1.338634737,-0.8048,-0.4668,2
1.452018058,-1.0409,-0.4792,2
1.188861295,-0.5862,-0.7551,2
1.329519598,-0.6594,-0.6868,2
1.052198387,-0.8073,-0.9203,2
1.146683592,-0.6079,0.155,2
1.253003146,-0.5384,-0.922,2
1.135156055,-0.9587,-0.6846,2
1.15192145,-1.0105,-0.4519,2
1.129644574,-1.0702,-0.6326,2
1.144496585,-0.9459,-0.4596,2
1.028760585,-1.0076,-0.5562,2
1.527518362,-0.3171,-1.1985,2
1.648815071,-0.9676,-0.3438,2
1.47314063,-0.8183,-0.7641,2
1.095904119,-0.8551,-0.4422,2
1.254407724,-1.0521,-0.3295,2
1.158236766,-0.3876,-0.4198,2
1.179501448,-0.9178,-0.518,2
1.548112274,-0.8499,-0.5468,2
1.509722331,-1.2393,-0.4293,2
1.407315063,-0.9635,-0.3387,2
1.086272582,-1.1481,0.226,2
1.28608527,-0.6782,-0.8435,2
1.203131614,-1.1722,-0.3121,2
1.241733155,-0.5089,-0.5233,2
1.167279059,-0.7451,-0.5655,2
1.149081005,-1.2736,-0.0492,2
1.205776291,-0.9499,-0.379,2
1.359174239,-0.8582,-0.6428,2
1.685724465,-0.8407,-0.4135,2
1.644626925,-0.7847,-0.297,2
1.247724427,-0.7653,-0.8656,2
1.036043741,-0.5547,-1.1538,2
1.602463026,-0.7227,-0.632,2
1.203193963,-0.9136,-0.7976,2
1.296502867,-0.9603,-0.8097,2
1.779841821,-0.3578,-0.8235,2
1.813944228,-0.8884,-1.0954,2
1.844805989,-1.1162,-0.2487,2
1.002206826,-0.7138,-0.7958,2
1.324647002,-0.867,-0.395,2
0.809047303,-0.5881,-0.1486,2
1.340248235,-1.0455,-0.4657,2
1.520891085,-0.2737,-0.6301,2
1.196984424,-1.1274,-1.2217,2
1.028790773,-0.4913,-0.128,2
1.161218737,-0.3929,-0.3423,2
1.483097892,-0.6385,-0.8369,2
0.703304664,-0.779,-0.2079,2
1.287149531,-1.5051,-0.6079,2
1.424221139,-0.6677,-0.3378,2
1.294116953,-0.9948,-1.1406,2
0.99721166,-1.0535,-0.5278,2
1.313298613,-0.5861,-0.735,2
1.483841644,-0.9636,-0.3805,2
1.156452746,-0.3607,-0.8228,2
1.637842414,-1.1824,-0.7005,2
1.462947447,-0.8824,-0.7344,2
1.13719809,-0.8156,-0.1163,2
1.605407334,-0.5816,-0.1129,2
1.888675304,-0.7053,-0.4152,2
1.445241402,-0.5605,-1.1979,2
1.323146017,-0.1228,-0.7166,2
0.956746506,-0.562,-1.1067,2
1.980709793,-0.6033,-0.3578,2
1.45311864,-0.7905,-0.5615,2
1.418785987,-1.0682,-0.4538,2
1.705040247,-0.5624,-0.4642,2
1.603877613,-0.561,-0.3384,2
1.511494607,-0.5499,-0.8135,2
1.321521966,-0.8741,-0.6276,2
1.666817617,-0.7847,-0.6574,2
1.132995824,-0.6301,-0.2457,2
1.202731532,-0.821,-0.3868,2
1.372976511,-1.0715,-0.4366,2
1.339916035,-1.1694,-0.3025,2
1.294992728,-0.838,-0.3515,2
1.230722406,-0.8925,-0.6123,2
0.69761906,-0.5664,-0.3677,2
1.649806684,-1.0144,-0.8161,2
1.343630132,-0.5263,-0.5861,2
1.37220055,-0.9457,-0.4712,2
1.491969943,-0.928,-0.2468,2
1.308799894,-0.9352,-0.6196,2
1.698156053,-0.626,-0.3284,2
1.204297334,-0.5282,-0.9891,2
0.836172202,-0.9894,-0.1157,2
1.452154526,-0.7384,-0.7155,2
1.257954729,-0.7159,-0.713,2
1.406217537,-0.541,-0.4355,2
1.212035962,-0.8696,-0.6025,2
1.221935912,-0.7601,-0.705,2
1.872409892,-1.0651,-0.523,2
2.012265081,-0.7687,-0.5991,2
1.686311562,-0.4715,-0.837,2
1.426465526,-0.9291,-0.4036,2
1.077593318,-0.9302,-1.1383,2
1.604981486,-0.8378,-0.4491,2
1.432654397,-0.5299,-0.9925,2
1.280987672,-0.596,-0.9231,2
1.181225573,-0.6355,-1.01,2
1.656786523,-1.0895,-0.814,2
1.642386341,-0.5325,-0.5603,2
1.174757438,-0.4377,-0.6262,2
1.709021746,-0.7197,-0.5214,2
1.336213748,-0.6142,-0.404,2
1.753507257,-0.4416,-0.4229,2
1.01448411,-0.9192,-0.4638,2
1.032000054,-0.3495,-0.2959,2
1.212940653,-0.4516,-0.8623,2
0.988077788,-0.7017,-0.3661,2
1.510950922,-0.8451,-0.7312,2
1.332216832,-0.6665,-0.3703,2
1.352827654,-0.2704,-0.2445,2
1.06839763,-1.076,-0.311,2
1.35360425,-1.1191,-0.4762,2
1.518114696,-0.6859,-0.4177,2
1.515292449,-0.5563,0.1522,2
1.855719531,-1.2301,-0.9109,2
1.395576446,-0.2352,-0.2226,2
1.395402234,-0.4414,-0.821,2
1.426317304,-0.5443,-0.3682,2
0.944029178,-0.9252,-0.7236,2
1.151783018,-0.3238,-0.2747,2
1.710812073,-0.5938,-0.6591,2
1.274439061,-1.1192,-0.5426,2
1.438966324,-1.1129,-0.2793,2
1.404564508,-0.9362,-0.825,2
1.637733105,-0.7375,-0.5855,2
1.519743118,-0.6905,-0.7804,2
1.428637898,-1.0398,-0.7373,2
1.08416461,-0.4227,-0.263,2
1.547067322,-0.294,-0.2915,2
1.80681765,-0.5629,0.01,2
1.681918217,-0.9564,-0.1239,2
0.369816047,-1.3843,-0.6779,2
1.597534773,-0.7653,-1.0807,2
1.151944067,-0.9747,-0.4353,2
1.221313684,-0.7914,-1.1132,2
1.500315999,-0.7315,-0.5443,2
1.445722336,-0.938,-0.9945,2
1.516245202,-0.4875,-0.1927,2
1.325465614,-0.8615,-0.8954,2
1.560765508,-0.4684,-0.8566,2
1.645610019,-0.5563,-0.718,2
1.135508485,-0.3571,-0.3253,2
1.567718036,-0.819,-0.7241,2
1.106304178,-0.439,-0.3491,2
1.468873966,-0.861,-0.2348,2
1.28735152,-0.8768,-0.1256,2
1.239011824,-0.8299,-0.4441,2
1.145587544,-1.0298,-0.3171,2
1.405722532,-0.9641,-0.4538,2
1.2499025,-1.2197,-0.8453,2
1.522511237,-0.8556,-0.7565,2
1.758775871,-0.5821,-0.7934,2
1.738295804,-0.6299,-0.5085,2
1.054697546,-0.8099,-0.354,2
1.667725281,-0.6437,-0.6688,2
1.14612808,-1.3001,-0.4343,2
1.285229252,-0.766,-0.1873,2
1.344369442,-0.9684,0.1328,2
1.170213474,-1.1135,0.0384,2
0.822220989,-0.8531,-0.8622,2
1.038039938,-1.0194,-0.4428,2
1.559906778,-1.0326,-0.6301,2
0.922966859,-1.3001,-0.4762,2
1.167180369,-0.5883,-0.5786,2
1.233618593,-0.1193,-0.5968,2
1.54513601,-0.754,-0.8434,2
1.506152599,-0.7336,-0.3112,2
1.262207339,-1.2063,-0.2807,2
1.392767419,-0.8824,-0.2117,2
0.776114914,-0.7695,-0.5385,2
1.834812278,-0.8812,-0.5075,2
1.309326255,-0.6056,-0.0411,2
1.585713332,-0.9435,-0.3943,2
1.884780965,-0.7797,-0.5228,2
1.260109338,-1.1441,-0.224,2
1.361061665,-0.6337,-0.1812,2
1.204216619,-1.2351,-0.5249,2
1.771909402,-1.0234,-0.6111,2
0.752400174,-0.4933,-0.3604,2
1.269937164,-0.8973,-0.6143,2
0.866491294,-0.743,-0.6206,2
1.366009062,-0.7211,-0.3032,2
1.232457027,-0.4438,-0.9633,2
0.788547764,-1.0401,-0.1214,2
1.506127768,-0.9964,-0.5428,2
1.677046503,-1.0963,-0.4486,2
1.481901668,-1.1623,-0.4905,2
1.474150544,-0.7399,-0.9291,2
1.352434243,-0.8726,-0.8909,2
1.546159743,-1.0853,-0.3225,2
1.130743378,-0.6316,-0.0645,2
1.650214461,-1.3289,-0.3044,2
1.266675832,-0.4784,-0.4264,2
1.535762387,-0.7157,-0.7945,2
1.288028469,-0.7056,-0.5669,2
1.639261962,-1.1088,-0.2404,2
1.299078937,-0.2856,-0.9853,2
1.438853667,-0.9334,-0.7718,2
1.194122015,-0.3588,-0.4562,2
-0.60396655,1.0513,-0.3473,3
-0.068007915,1.7,-0.5887,3
0.117823116,1.1666,-0.1845,3
0.202572175,1.6404,-1.1049,3
0.152949407,1.1804,-0.4972,3
-0.109870559,1.2009,-0.317,3
0.097780452,1.4951,-0.5891,3
-0.199633222,1.6152,-0.4416,3
-0.10892747,1.4129,-0.9198,3
0.044214624,1.7103,-0.9955,3
-0.214327996,1.0053,-0.3577,3
0.163924982,1.8423,-0.3384,3
0.052970511,1.1715,-0.7122,3
-0.340693639,1.7147,-0.4666,3
0.258469049,1.1237,-0.6371,3
-0.012444167,1.857,-0.6742,3
-0.076553339,1.9639,-0.7384,3
0.058087267,1.5099,-0.5722,3
0.188861167,1.8462,-0.2774,3
-0.289473603,1.3203,-0.5717,3
0.55875371,1.3428,-0.8553,3
-0.310740377,1.7522,-0.5708,3
0.057199695,1.4623,-0.1157,3
0.148429051,1.5165,-0.4847,3
-0.159234846,1.7998,-0.6967,3
-0.209191355,1.6131,-0.6681,3
-0.580060943,1.5565,-0.8406,3
-0.493517503,1.8262,-0.8487,3
-0.297279349,1.759,-0.5092,3
0.101193614,1.8748,-0.6814,3
0.268757394,1.8526,-1.0121,3
-0.138965152,1.3885,-0.8912,3
-0.066175511,1.5629,-0.6619,3
0.000786989,1.5437,-0.8555,3
0.036577452,1.5767,-0.1787,3
0.104768636,1.4866,-0.4465,3
-0.202363844,1.5008,-0.2921,3
-0.233927361,1.7649,-0.9807,3
-0.025923334,1.5256,-0.7364,3
-0.173139869,1.3084,-0.8854,3
-0.16547241,1.7061,-1.0547,3
0.122973083,1.4924,-0.614,3
0.464640754,1.6946,-0.6793,3
-0.410211134,1.5984,-0.5986,3
0.211589511,1.7432,-0.1328,3
0.317141312,1.4206,-0.0548,3
0.291087661,1.4876,-0.7314,3
0.277058304,1.9151,-0.7624,3
0.480769895,1.6015,-0.6367,3
0.235008835,1.1003,-0.4904,3
0.28192336,1.5919,-0.3232,3
0.268242087,1.2315,-0.6604,3
-0.160237546,2.1105,-0.8194,3
-0.219732378,1.6999,-0.9558,3
0.153282713,1.3744,-0.1473,3
0.002139106,1.4138,-0.5931,3
-0.100420703,1.005,-0.4946,3
-0.325160242,1.517,-0.7213,3
-0.065752259,1.5762,-0.5427,3
-0.118480724,1.4133,-0.6873,3
0.03854659,1.7845,-0.6111,3
0.240610947,1.8923,-0.5428,3
-0.538843988,1.7514,-0.8638,3
0.392850093,1.8134,-0.3388,3
0.442591289,1.3418,-0.3913,3
0.145908447,2.2196,-0.6181,3
0.189124588,1.49,-0.4869,3
-0.085922554,1.3543,-0.5117,3
-0.136180461,1.625,-0.8012,3
0.246309172,1.6097,-0.8403,3
-0.020793941,1.4512,-0.4918,3
0.183191936,1.8057,-0.598,3
-0.038655652,1.4123,-0.8962,3
0.03986211,1.5415,-0.1576,3
0.181998459,1.472,0.0945,3
-0.036165135,1.7603,-0.5899,3
0.050541074,1.1391,-0.6334,3
0.204639641,1.7144,-1.0262,3
0.457758697,0.6866,-0.3803,3
0.167559072,1.4681,-0.4252,3
0.458777979,1.5096,-0.7433,3
-0.295198187,1.632,-0.2738,3
-0.353021874,1.6822,-0.6617,3
0.254397405,1.5397,-0.4884,3
-0.082468029,1.4713,-0.5364,3
-0.625677422,1.8864,-0.4606,3
0.178044947,1.638,-0.35,3
0.009778462,1.4102,-0.5345,3
0.194141326,1.5557,-0.5759,3
-0.100006881,1.3181,-0.8584,3
0.248400727,1.6112,-0.6323,3
0.408707824,1.6627,-0.6596,3
-0.314983776,1.4258,-1.511,3
-0.123394039,1.7918,-0.3336,3
-0.063100218,1.2554,-0.6296,3
0.165527891,1.2175,-0.5752,3
-0.4808171,1.0726,-0.8177,3
0.450063063,2.1572,-0.6362,3
-0.19699783,1.4848,-0.5353,3
0.182997359,0.9742,-0.0785,3
0.17381989,1.1615,-0.4005,3
-0.015762875,1.7306,-0.4223,3
0.010012577,1.3233,-0.8767,3
-0.247905253,1.5104,-0.683,3
-0.183686994,1.3929,-0.4533,3
-0.139790447,1.5786,-1.0458,3
0.013189342,1.659,-0.1104,3
-0.018254155,1.643,-0.7333,3
-0.069793575,1.4217,-0.7081,3
0.057531537,1.6497,-0.4193,3
-0.00905421,2.0141,-0.8299,3
0.466427098,1.6897,-0.5058,3
0.451533126,1.702,0.0159,3
0.320501755,1.2,-0.6859,3
0.133788862,1.814,-0.4814,3
-0.099369121,1.4851,-0.8071,3
0.373197251,1.435,-0.6402,3
-0.0711098,1.6318,-0.0224,3
0.266389123,1.3673,-0.5866,3
0.037623595,1.4818,-0.8643,3
-0.015459363,1.0008,-0.8972,3
-0.253747171,1.5839,-0.9726,3
-0.263127291,1.8799,-0.4853,3
-0.442142858,1.4681,-0.7111,3
0.211119128,1.6882,-0.4997,3
0.42424885,1.7625,-0.2115,3
-0.131899545,2.1532,-0.9438,3
-0.028124416,1.2338,-0.6672,3
0.001173145,1.5112,-0.56,3
-0.497895607,1.332,-0.6605,3
0.194659385,1.3673,-0.37,3
-0.045565508,1.6438,-0.8398,3
0.192530493,1.1366,-0.7505,3
-0.244759386,1.6856,-0.4454,3
-0.219153244,1.5514,-0.7666,3
-0.052202806,1.5241,-0.4325,3
0.103185622,1.6178,-0.4784,3
-0.204668873,1.5043,-0.6987,3
0.204691565,1.6624,-0.2268,3
0.055452617,1.4204,-0.3227,3
0.212527986,1.3269,-1.0676,3
-0.145760244,1.5492,-0.5954,3
-0.370874116,1.5056,-0.5485,3
0.360050783,1.5832,-0.5394,3
0.084970526,1.1981,-0.6108,3
0.146918046,0.9749,-0.4929,3
-0.052822688,2.2114,-0.1645,3
-0.267846358,1.4489,-0.8624,3
0.113004328,1.4224,-0.4044,3
0.003864806,1.4417,-0.6027,3
-0.047340973,1.6238,-0.4086,3
-0.33649807,1.6722,-1.0215,3
0.243152923,1.5681,-0.407,3
-0.011959902,1.4574,-0.5377,3
0.102328538,1.7008,-0.9192,3
-0.874420602,1.6624,-0.8717,3
0.293871601,1.4556,-0.6384,3
0.249125479,1.6551,-0.5866,3
0.142799858,1.5383,-0.6401,3
0.032279323,1.7299,-0.6028,3
-0.697622675,1.4152,-0.6054,3
0.25654185,2.192,-0.0264,3
-0.010333738,1.792,-0.5918,3
-0.333440624,1.6474,-0.5227,3
0.199794017,1.4349,-0.4887,3
0.425488885,1.8397,-0.8563,3
-0.229215604,2.1065,-0.8452,3
-0.29650305,1.4329,-0.8118,3
0.173085652,1.5301,-0.5962,3
-0.098909041,1.6558,-0.8114,3
0.530488235,1.4479,-0.5126,3
-0.025041337,1.915,-0.4455,3
0.487132445,1.4684,-1.0037,3
0.227334563,1.4374,-0.3982,3
-0.321074538,1.5434,-0.8517,3
-0.112532404,1.5973,-0.5669,3
-0.062584312,1.8209,-0.3379,3
-0.085647048,2.2048,-0.5904,3
-0.187000031,1.3264,-0.643,3
0.238438231,2.0739,-0.4091,3
0.024170813,1.6122,-0.5109,3
-0.456444049,1.6189,-0.72,3
-0.196660567,1.2654,-0.4206,3
0.512966044,1.6064,-0.5863,3
0.096199652,1.8692,-0.6549,3
0.086473262,1.3302,-0.5711,3
0.486521085,1.4786,-0.6918,3
0.332430539,1.0923,-0.686,3
0.401740526,1.6141,-0.3768,3
-0.187172196,1.671,-0.7493,3
0.093051438,1.2541,-1.065,3
0.396968119,1.8318,-0.706,3
0.056350849,1.2356,-0.6208,3
0.162760103,1.8415,-0.6408,3
0.154473381,1.9133,-0.4391,3
-0.236529737,1.5001,-0.1267,3
0.520224629,1.4048,-0.764,3
0.425349234,1.7113,-0.7404,3
0.067966377,1.7261,-0.6207,3
-0.171017172,1.0442,-0.6042,3
0.016057518,1.6427,-0.5156,3
0.171762382,1.7462,-0.6471,3
0.213482257,1.507,-0.3762,3
-0.152430967,0.9734,-0.724,3
